Number,Area,Location,Slot,AMC,Crate_Number,Crate,Type,Type_Number,Global_ID,Name,Description
1,GUNB,MP01,2,2,1,L2KA00-0517,Digital Card,1,1,Digital Card,Trunk L2A00012/L2A00011
2,GUNB,MP01,2,1,1,L2KA00-0517,Generic ADC,2,2,Generic ADC,SOL1/SOL2 and CEHTR PBLM
3,GUNB,MP01,2,3,1,L2KA00-0517,Virtual Card,6,3,Virtual Card,Soft Inputs (Quads/Dipoles)
4,GUNB,MP01,3,0,1,L2KA00-0517,BPM Card,4,4,BPM Card,EMPTY
5,GUNB,MP01,4,0,1,L2KA00-0517,BPM Card,4,5,BPM Card,EMPTY
6,GUNB,MP01,5,2,1,L2KA00-0517,LLRF,5,6,LLRF,EMPTY
7,GUNB,MP01,6,1,1,L2KA00-0517,Analog Card,3,7,Analog Card,Faraday Cup (Diag Line)
8,GUNB,MP01,7,0,1,L2KA00-0517,Analog Card,3,8,Analog Card,Toroid (BCM)
9,HTR,MP01,2,2,2,L2KA00-0615,Digital Card,1,9,Digital Card,No Trunk
10,HTR,MP01,3,0,2,L2KA00-0615,BPM Card,4,10,BPM Card,EMPTY
11,HTR,MP01,4,0,2,L2KA00-0615,Analog Card,3,11,Analog Card,EMPTY
12,HTR,MP01,5,0,2,L2KA00-0615,BPM Card,4,12,BPM Card,EMPTY
13,HTR,MP01,6,0,2,L2KA00-0615,BPM Card,4,13,BPM Card,EMPTY
14,HTR,MP01,7,0,2,L2KA00-0615,BPM Card,4,14,BPM Card,EMPTY
15,L0B,MP01,2,2,3,L2KA00-0608,Digital Card,1,15,Digital Card,EMPTY
16,L0B,MP01,3,2,3,L2KA00-0608,LLRF,5,16,LLRF,EMPTY
17,L0B,MP01,4,2,3,L2KA00-0608,LLRF,5,17,LLRF,EMPTY
18,L0B,MP01,5,2,3,L2KA00-0608,LLRF,5,18,LLRF,EMPTY
19,L0B,MP02,2,2,5,L2KG01-1925,Digital Card,1,19,Digital Card,No Trunk (Vacuum)
20,L0B,MP02,2,1,5,L2KG01-1925,Generic ADC,2,20,Generic ADC,PBLMs
21,L0B,MP02,3,0,5,L2KG01-1925,Analog Card,3,21,Analog Card,EMPTY
22,L0B,MP02,4,0,5,L2KG01-1925,BPM Card,4,22,BPM Card,EMPTY
23,L0B,MP02,5,0,5,L2KG01-1925,BPM Card,4,23,BPM Card,EMPTY
24,L0B,MP02,6,0,5,L2KG01-1925,BPM Card,4,24,BPM Card,EMPTY
25,L0B,MP02,7,0,5,L2KG01-1925,BPM Card,4,25,BPM Card,EMPTY
26,HTR,MP02,2,2,6,L2KG01-1931,Digital Card,1,26,Digital Card,Trunk L2A00014/L2A00013
27,HTR,MP02,2,1,6,L2KG01-1931,Generic ADC,2,27,Generic ADC,Fiber BLM (P1-3 P1-12) / Diag0 Kicker
28,HTR,MP02,3,0,6,L2KG01-1931,BPM Card,4,28,BPM Card,EMPTY
29,HTR,MP02,4,0,6,L2KG01-1931,BPM Card,4,29,BPM Card,EMPTY
30,HTR,MP02,5,0,6,L2KG01-1931,BPM Card,4,30,BPM Card,EMPTY
31,HTR,MP02,6,0,6,L2KG01-1931,BPM Card,4,31,BPM Card,EMPTY
32,HTR,MP02,7,0,6,L2KG01-1931,BPM Card,4,32,BPM Card,EMPTY
33,HTR,MP03,2,2,7,L2KG01-1937,Digital Card,1,33,Digital Card,No Trunk
34,HTR,MP03,3,0,7,L2KG01-1937,BPM Card,4,34,BPM Card,EMPTY
35,HTR,MP03,4,0,7,L2KG01-1937,BPM Card,4,35,BPM Card,EMPTY
36,HTR,MP03,5,0,7,L2KG01-1937,BPM Card,4,36,BPM Card,EMPTY
37,COL0,MP01,2,2,8,L2KG01-2037,Digital Card,1,37,Digital Card,No Trunk
38,COL0,MP01,3,0,8,L2KG01-2037,BPM Card,4,38,BPM Card,EMPTY
39,COL0,MP01,4,0,8,L2KG01-2037,BPM Card,4,39,BPM Card,EMPTY
40,COL0,MP01,5,2,8,L2KG01-2037,LLRF,5,40,LLRF,EMPTY
