Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Enable
BPMSP12H,HXU,all,SLTH,10044.95017,158,-,209,B136-0628,0,N/A,0
BPMSP13H,HXU,all,SLTH,10062.74714,186,-,209,B136-0628,1,N/A,0
BPMBP31,SXU,all,SLTS,10205.52396,439,-,203,B136-0528,0,N/A,0
BPMBSYQ3,HXU,all,BSYH,10209.44782,445,-,208,B136-0628,0,N/A,0
BPMBP32,HXU,all,SLTS,10217.1769,457,-,203,B136-0528,1,N/A,0
BPMBSYQ4,HXU,all,BSYH,10223.02644,465,-,208,B136-0628,1,N/A,0
BPMSP4D,Linac,all,SPS,10326.73368,603,-,212,B106-0117,1,N/A,0
BPMBSYQ5,HXU,all,BSYH,10337.58202,640,-,217,B106-0124,0,N/A,0
BPMBSYQ6,HXU,all,BSYH,10402.28339,735,-,217,B106-0124,1,N/A,0
BPM10A,Linac,all,BSYA,10448.48833,348,-,213,B106-0117,0,N/A,0
BPMBP34,SXU,all,BSYS,10490.98342,862,-,224,B106-0131,1,N/A,0
BPM12A,Linac,all,BSYA,10495.71529,401,-,213,B106-0117,1,N/A,0
BPMSP5D,Linac,all,SPS,10509.60302,892,-,212,B106-0117,0,N/A,0
BPMBSYQA0,HXU,all,BSYH,10519.82063,910,-,218,B106-0124,0,N/A,0
BPMDBL1,SXU,all,LTUS,10579.66675,102,-,223,B106-0131,0,N/A,0
BPMVM1,HXU,all,LTUH,10580.68532,103,-,230,B105-0117,0,N/A,0
BPMVM2,HXU,all,LTUH,10583.83794,105,-,230,B105-0117,1,N/A,0
BPMDBL2,SXU,all,LTUS,10586.81898,107,-,223,B106-0131,1,N/A,0
BPM17,Linac,all,BSYA,10597.51259,516,-,214,B106-0117,0,N/A,0
BPMVB1,HXU,all,LTUH,10614.54955,130,-,231,B105-0117,0,N/A,0
BPMVB2,HXU,all,LTUH,10629.18508,142,-,231,B105-0117,1,N/A,0
BPMDL11,SXU,all,LTUS,10633.00927,145,-,224,B106-0131,0,N/A,0
BPMVB3,HXU,all,LTUH,10643.8206,154,-,233,B105-0124,0,N/A,0
BPMDL12,SXU,all,LTUS,10672.69402,176,-,238,B105-0131,0,N/A,0
BPMVM3,HXU,all,LTUH,10674.53217,178,-,233,B105-0124,1,N/A,0
BPMVM4,HXU,all,LTUH,10677.68476,181,-,234,B105-0124,0,N/A,0
BPMDL13,SXU,all,LTUS,10719.27514,214,-,238,B105-0131,1,N/A,0
BPMDL1,HXU,all,LTUH,10731.63469,225,-,234,B105-0124,1,N/A,0
BPMDL14,SXU,all,LTUS,10758.4849,245,-,239,B105-0131,0,N/A,0
BPMT12,HXU,all,LTUH,10790.37585,272,-,235,B105-0124,0,N/A,0
BPMDL15,SXU,all,LTUS,10800.30834,279,-,239,B105-0131,1,N/A,0
BPMDL16,SXU,all,LTUS,10845.72532,315,-,240,B105-0131,0,N/A,0
BPMDL2,HXU,all,LTUH,10849.11154,320,-,235,B105-0124,1,N/A,0
BPMDL17,SXU,all,LTUS,10886.56892,348,-,240,B105-0131,1,N/A,0
BPMT22,HXU,all,LTUH,10907.84722,367,-,236,B105-0124,0,N/A,0
BPMDL18,SXU,all,LTUS,10925.77868,379,-,256,B911-0622,0,N/A,0
BPMDL3,HXU,all,LTUH,10966.5884,415,-,243,B911-0608,0,N/A,0
BPMDL19,SXU,all,LTUS,10967.60213,413,-,256,B911-0622,1,N/A,0
BPMDL20,SXU,all,LTUS,11000.15479,439,-,257,B911-0622,0,N/A,0
BPMT32,HXU,all,LTUH,11025.33131,462,-,243,B911-0608,1,N/A,0
BPMDL21,SXU,all,LTUS,11037.66791,469,-,257,B911-0622,1,N/A,0
BPMDL22,SXU,all,LTUS,11045.26634,475,-,258,B911-0622,0,N/A,0
BPMVB1B,SXU,all,LTUS,11077.72301,501,-,258,B911-0622,1,N/A,0
BPMDL4,HXU,all,LTUH,11084.07595,509,-,244,B911-0608,0,N/A,0
BPMVB2B,SXU,all,LTUS,11085.60826,507,-,259,B911-0622,0,N/A,0
BPMVB3B,SXU,all,LTUS,11093.49351,514,-,259,B911-0622,1,N/A,0
BPMVM3B,SXU,all,LTUS,11120.7356,536,-,249,B911-0615,0,N/A,0
BPMVM4B,SXU,all,LTUS,11127.169,541,-,249,B911-0615,1,N/A,0
BPMT42,HXU,all,LTUH,11142.82058,557,-,244,B911-0608,1,N/A,0
BPMEM1,HXU,all,LTUH,11157.32777,569,-,245,B911-0608,0,N/A,0
BPMEM1B,SXU,all,LTUS,11157.32777,565,-,250,B911-0615,0,N/A,0
BPMEM2B,SXU,all,LTUS,11171.96318,577,-,250,B911-0615,1,N/A,0
BPMEM2,HXU,all,LTUH,11171.96318,581,-,245,B911-0608,1,N/A,0
BPMEM3B,SXU,all,LTUS,11212.84501,609,-,251,B911-0615,0,N/A,0
BPMEM3,HXU,all,LTUH,11212.84502,614,-,246,B911-0608,0,N/A,0
BPMEM4,HXU,all,LTUH,11227.48042,625,-,246,B911-0608,1,N/A,0
BPMEM4B,SXU,all,LTUS,11227.48042,621,-,251,B911-0615,1,N/A,0
BPME31B,SXU,all,LTUS,11263.72129,650,-,268,B912-1426,0,N/A,0
BPME31,HXU,all,LTUH,11263.72129,655,-,262,B912-1419,0,N/A,0
BPME32B,SXU,all,LTUS,11321.56762,697,-,268,B912-1426,1,N/A,0
BPME32,HXU,all,LTUH,11321.56762,701,-,262,B912-1419,1,N/A,0
BPME33,HXU,all,LTUH,11379.41395,748,-,263,B912-1419,0,N/A,0
BPME33B,SXU,all,LTUS,11379.41395,743,-,269,B912-1426,0,N/A,0
BPME34,HXU,all,LTUH,11437.26028,795,-,263,B912-1419,1,N/A,0
BPME34B,SXU,all,LTUS,11437.26028,789,-,269,B912-1426,1,N/A,0
BPME35,HXU,all,LTUH,11495.1066,842,-,296,B913-10725,0,N/A,0
