Name,Number,Description,Num_Integrators
MS,1,Mechanical Laser Shutter,0
AOM,2,AOM Laser Shutter,0
PROF,3,Profile Monitor,0
TEMP,4,Temperature Status,0
FLOW,5,Waterflow Status,0
GUN,6,Gun Device,0
CAV,7,Buncher Cavity Device,0
VVPG,8,Vacuum Valve Pneumatic Status,0
VVMG,9,Manual Vacuum Valve Status,0
SHUT,10,Laser Shutter Status,0
SOLN,11,Solenoid,1
FARC,12,Faraday Cup,1
TORO,13,Toroid,2
BPMS,14,Beam Position Monitor,3
BLEN,15,Bunch Length Monitor,1
BLM,16,Beam Loss Monitor,1
BEND,17,Dipole,1
STOP,18,Stopper,0
WIRE,19,Fast Wire Scanner,0
COLL,20,Collimator,0
WIRE_PARK,21,Fast Wire Parked Switch,0
VVFS,22,Vacuum Fast Valve,0
