Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,MPS_Channel_#3,Drawing_#,Measured_Device_Type_Id
GUN_FLOW,Linac,FLOW,GUNB,-36,100,Gun,1,L2KA00-0517,24,-,-,WD37604000,6
BUNCHER_FLOW,Linac,FLOW,GUNB,-35,455,Buncher,1,L2KA00-0517,6,-,-,WD37604000,7
SOL01_FLOW,Linac,FLOW,GUNB,-32.115049,212,Collimator,1,L2KA00-0517,4,-,-,WD37604000,11
CEHTR_FLOW_A,Linac,FLOW,HTR,71.879751,72,Collimator,23,L2KG01-1931,-,11,-,SA-375-575-28 / MISSING,-
CEHTR_FLOW_B,Linac,FLOW,HTR,71.879751,72,Collimator,23,L2KG01-1931,-,-,12,SA-375-575-28 / MISSING,-
CYC01_FLOW_A,Linac,FLOW,COL0,150.975853,151,Collimator,23,L2KG01-1931,-,13,-,SA-375-575-28 / MISSING,-
CYC01_FLOW_B,Linac,FLOW,COL0,150.975853,151,Collimator,23,L2KG01-1931,-,-,14,SA-375-575-28 / MISSING,-
CXC01_FLOW_A,Linac,FLOW,COL0,164.099213,165,Collimator,23,L2KG01-1931,-,15,-,SA-375-575-28 / MISSING,-
CXC01_FLOW_B,Linac,FLOW,COL0,164.099213,165,Collimator,23,L2KG01-1931,-,-,16,SA-375-575-28 / MISSING,-
CYC03_FLOW_A,Linac,FLOW,COL0,203.469291,204,Collimator,23,L2KG01-1931,-,17,-,SA-375-575-28 / MISSING,-
CYC03_FLOW_B,Linac,FLOW,COL0,203.469291,204,Collimator,23,L2KG01-1931,-,-,18,SA-375-575-28 / MISSING,-
CXC03_FLOW_A,Linac,FLOW,COL0,216.592651,217,Collimator,23,L2KG01-1931,-,19,-,SA-375-575-28 / MISSING,-
CXC03_FLOW_B,Linac,FLOW,COL0,216.592651,217,Collimator,23,L2KG01-1931,-,-,20,SA-375-575-28 / MISSING,-
CE11B_FLOW_A,Linac,FLOW,BC1B,411.184547,412,Collimator,37,L2KG02-2209,-,0,-,SA-375-575-28 / MISSING,-
CE11B_FLOW_B,Linac,FLOW,BC1B,411.184547,412,Collimator,37,L2KG02-2209,-,-,1,SA-375-575-28 / MISSING,-
CYC11_FLOW_A,Linac,FLOW,COL1,478.182585,479,Collimator,37,L2KG02-2209,-,2,-,SA-375-575-28 / MISSING,-
CYC11_FLOW_B,Linac,FLOW,COL1,478.182585,479,Collimator,37,L2KG02-2209,-,-,3,SA-375-575-28 / MISSING,-
CXC11_FLOW_A,Linac,FLOW,COL1,491.305945,492,Collimator,37,L2KG02-2209,-,4,-,SA-375-575-28 / MISSING,-
CXC11_FLOW_B,Linac,FLOW,COL1,491.305945,492,Collimator,37,L2KG02-2209,-,-,5,SA-375-575-28 / MISSING,-
CYC13_FLOW_A,Linac,FLOW,COL1,530.676024,531,Collimator,37,L2KG02-2209,-,6,-,SA-375-575-28 / MISSING,-
CYC13_FLOW_B,Linac,FLOW,COL1,530.676024,531,Collimator,37,L2KG02-2209,-,-,7,SA-375-575-28 / MISSING,-
CXC13_FLOW_A,Linac,FLOW,COL1,543.799383,544,Collimator,37,L2KG02-2209,-,8,-,SA-375-575-28 / MISSING,-
CXC13_FLOW_B,Linac,FLOW,COL1,543.799383,544,Collimator,37,L2KG02-2209,-,-,9,SA-375-575-28 / MISSING,-
CE21B_FLOW_A,Linac,FLOW,BC2B,1131.312178,1132,Collimator,61,L2KG04-1923,-,11,-,SA-375-575-28 / MISSING,-
CE21B_FLOW_B,Linac,FLOW,BC2B,1131.312178,1132,Collimator,61,L2KG04-1923,-,-,12,SA-375-575-28 / MISSING,-
