Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
PBLM@CEHTR,Linac,all,HTR,71.879751,72,L2KA00-0513,2,L2KA00-0517,2,MISSING
PBLM@CYC01,Linac,all,COL0,150.97,386,L2KG01-2010,20,L2KG01-1925,0,MISSING
PBLM@CXC01,Linac,all,COL0,164.099,476,L2KG01-2010,20,L2KG01-1925,1,MISSING
PBLM@CYC03,Linac,all,COL0,203.469291,745,L2KG01-2010,20,L2KG01-1925,2,MISSING
PBLM@CXC03,Linac,all,COL0,216.592651,835,L2KG01-2010,20,L2KG01-1925,3,MISSING
PBLM@CE11B,Linac,all,BC1B,398.62206,539,L2KG02-2310,54,L2KG02-2323,0,MISSING
PBLM@CYC11,Linac,all,COL1,478.182585,422,L2KG02-2310,54,L2KG02-2323,1,MISSING
PBLM@CXC11,Linac,all,COL1,491.305945,501,L2KG02-2310,54,L2KG02-2323,2,MISSING
PBLM@CYC13,Linac,all,COL1,530.676024,739,L2KG02-2310,54,L2KG02-2323,3,MISSING
PBLM@CXC13,Linac,all,COL1,543.799383,818,L2KG02-2310,54,L2KG02-2323,4,MISSING
PBLM@CE21B,Linac,all,BC2B,1131.312178,569,L2KG04-2626,75,L2KG04-2609,4,MISSING
PBLM@CEDOG,Linac,all,DOG,2235.182306,128,L2KG07-3710,105,L2KG07-3737,2,MISSING
PBLM@CXBP21,Linac,all,BYP,6793.16602,6793,L2KG21-0410,164,L2KG21-0433,0,MISSING
PBLM@CYBP22,Linac,all,BYP,7126.499354,7126,L2KG22-7D15,167,L2KG22-7D37,0,MISSING
PBLM@CXBP25,Linac,all,BYP,8126.499354,8126,L2KG25-7D15,175,L2KG25-7D37,0,MISSING
PBLM@CYBP26,Linac,all,BYP,8459.832687,8460,L2KG26-7D15,178,L2KG26-7D37,0,MISSING
PBLM@BLXSPH,HXU,all,SPH,9197.427831,9197,L2KG28-0110,188,L2KG28-7D27,3,MISSING
PBLM@BLXSPS,SXU,all,SPS,9483.43833,9483,L2KG29-7C10,202,L2KG29-7D17,3,MISSING
