Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,Drawing_#
YAG01,Linac,TGT,GUNB,-28.061394,753,L2KA00-1102,1,L2KA00-0517,0,1,WD37604000
YAGH1,Linac,TGT,HTR,72.858917,616,L2KA01-0302,26,L2KG01-1931,0,1,WD37604200
YAGH2,Linac,TGT,HTR,76.330833,666,L2KA01-0302,26,L2KG01-1931,2,3,WD37604200
OTRDG02,Diag0,TGT,DIAG0,153.351427,418,L2KA01-0302,26,L2KG01-1931,4,5,WD37604200
OTRDG04,Diag0,TGT,DIAG0,169.458799,525,L2KA01-0302,26,L2KG01-1931,6,7,WD37604200
OTR11B,Linac,TGT,BC1B,411.783632,559,L2KA02-0325,48,L2KG02-2215,0,1,WD37604400
OTR21B,Linac,TGT,BC2B,1131.912572,575,L2KA04-0502,68,L2KG04-1923,0,1,WD37605000
OTRDOG,Linac,TGT,DOG,2361.592667,192,L2KF08-3B05,115,L2KG08-3A33,0,1,WD37605203
OTR30,HXU,TGT,LTUH,10962.86699,412,B911-0502,269,B911-0608,0,1,WD37605803
YAGPSI,HXU,TGT,LTUH,11405.67589,769,B912-2202,288,B912-1419,2,3,WD37605804
OTR33,HXU,TGT,LTUH,11408.33711,772,B912-2202,288,B912-1419,0,1,WD37605804
XDCXRAY,HXU,TGT,SFTH,12279.82155,12280,B921-7202,344,B921-1527,17,18,WD37606001
YAGXRAYB,SXU,TGT,SFTS,12281.41274,12281,B921-7202,333,B921-1433,11,12,WD37606001
YAGXRAY,HXU,TGT,SFTH,12283.87334,12284,B921-7202,344,B921-1527,19,20,WD37606001
OTRDMP,HXU,TGT,DMPH,12339.92127,12340,B921-7202,344,B921-1527,21,22,WD37606001
OTRDMPB,SXU,TGT,DMPS,12339.92127,12340,B921-7202,333,B921-1433,13,14,WD37606001
