Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
QCM01,Linac,CURRENT,L0B,13.317552,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,5,N/A
QDG001,Linac,CURRENT,DIAG0,118.692923,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,6,N/A
QDG003,Linac,CURRENT,DIAG0,124.316936,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,7,N/A
QCM02,Linac,CURRENT,L1B,295.823064,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,8,N/A
QCM03,Linac,CURRENT,L1B,335.916207,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,9,N/A
QCM04,Linac,CURRENT,L2B,627.573104,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,10,N/A
QCM05,Linac,CURRENT,L2B,667.666247,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,11,N/A
QCM06,Linac,CURRENT,L2B,707.75939,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,12,N/A
QCM07,Linac,CURRENT,L2B,747.852533,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,13,N/A
QCM08,Linac,CURRENT,L2B,787.945676,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,14,N/A
QCM09,Linac,CURRENT,L2B,828.038819,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,15,N/A
QCM10,Linac,CURRENT,L2B,868.131962,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,16,N/A
QCM11,Linac,CURRENT,L2B,908.225105,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,17,N/A
QCM12,Linac,CURRENT,L2B,948.318248,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,18,N/A
QCM13,Linac,CURRENT,L2B,988.411391,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,19,N/A
QCM14,Linac,CURRENT,L2B,1028.504534,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,20,N/A
QCM15,Linac,CURRENT,L2B,1068.597677,TBD,SIOC:SYS2:ML00:AO001,3,L2KA00-0517,21,N/A
QCM16,Linac,CURRENT,L3B,1320.310138,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,0,N/A
QCM17,Linac,CURRENT,L3B,1360.403281,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,1,N/A
QCM18,Linac,CURRENT,L3B,1400.496424,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,2,N/A
QCM19,Linac,CURRENT,L3B,1440.589567,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,3,N/A
QCM20,Linac,CURRENT,L3B,1480.68271,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,4,N/A
QCM21,Linac,CURRENT,L3B,1520.775853,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,5,N/A
QCM22,Linac,CURRENT,L3B,1560.868996,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,6,N/A
QCM23,Linac,CURRENT,L3B,1600.962139,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,7,N/A
QCM24,Linac,CURRENT,L3B,1641.055282,TBD,SIOC:SYS2:ML00:AO001,69,L2KG04-1923,8,N/A
