Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Measured_Device_Type_Id
CXBP34_TEMP,SXU,TEMP_STATE,BSYS,10485.68748,854,B106-03,221,B106-0131,6,MISSING,20
STBP34A_TEMP,SXU,TEMP_STATE,BSYS,10504.45678,889,B005-L07,228,B005-L0722,12,MISSING,18
STBP34B_TEMP,SXU,TEMP_STATE,BSYS,10511.01846,899,B005-L07,228,B005-L0722,13,MISSING,18
CXQ6_TEMP,HXU,TEMP_STATE,BSYH,10508.8283,891,B106-03,215,B106-0124,0,MISSING,20
CYBDL_TEMP,SXU,TEMP_STATE,LTUS,10583.24286,105,B005-L07,228,B005-L0722,9,MISSING,20
CEDL13_TEMP,SXU,TEMP_STATE,LTUS,10717.79216,212,B005-L07,228,B005-L0722,7,MISSING,20
CEDL1_TEMP,HXU,TEMP_STATE,LTUH,10736.30717,228,B005-L07,227,B005-L08xx,8,MISSING,20
CYBX32_TEMP,HXU,TEMP_STATE,LTUH,10771.82688,257,B005-L07,227,B005-L08xx,9,MISSING,20
CYDL16_TEMP,SXU,TEMP_STATE,LTUS,10844.24658,314,B005-L07,228,B005-L0722,8,MISSING,20
CEDL17_TEMP,SXU,TEMP_STATE,LTUS,10885.08595,347,B911-22,254,B911-0622,13,MISSING,20
CXQT22_TEMP,HXU,TEMP_STATE,LTUH,10910.24336,369,B911-22,241,B911-0608,4,MISSING,20
CEDL3_TEMP,HXU,TEMP_STATE,LTUH,10971.26088,418,B911-22,241,B911-0608,5,MISSING,20
CYBX36_TEMP,HXU,TEMP_STATE,LTUH,11006.78059,447,B911-22,241,B911-0608,6,MISSING,20
STCLTS_TEMP,CLTS,TEMP_STATE,CLTS,10302.00459,585,B136-0249,200,B136-0521,1,MISSING,18
