Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
VVPG:GUNB:100,Linac,STATUS,GUNB,-59,100,L2KA00-0105,1,L2KA00-0517,7,WD37604000
VVPG:GUNB:941,Linac,STATUS,GUNB,-26.64,941,L2KA00-0105,1,L2KA00-0517,8,WD37604000
VVPG:HTR:93,Linac,STATUS,HTR,25.85,93,L2KA01-0117,16,L2KG01-1925,0,WD-376-404-09-C0
VVPG:HTR:162,Linac,STATUS,HTR,32.5,162,L2KA01-0117,16,L2KG01-1925,1,WD-376-404-09-C0
VVPG:HTR:217,Linac,STATUS,HTR,36.99,217,L2KA01-0117,16,L2KG01-1925,2,WD-376-404-09-C0
VVPG:HTR:417,Linac,STATUS,HTR,54.63,417,L2KA01-0117,16,L2KG01-1925,3,WD-376-404-09-C0
VVPG:HTR:889,Linac,STATUS,HTR,95.96,889,L2KA01-0117,16,L2KG01-1925,4,WD-376-404-09-C0
VVPG:HTR:986,Linac,STATUS,HTR,105.02,986,L2KA01-0117,16,L2KG01-1925,5,WD-376-404-09-C0
VVPG:COL0:205,Linac,STATUS,COL0,119.42,205,L2KA01-0117,16,L2KG01-1925,6,WD-376-404-09-C0
VVPG:DIAG0:268,Linac,STATUS,DIAG0,130.91,268,L2KA01-0117,16,L2KG01-1925,7,WD-376-404-09-C0
VVPG:COL0:994,Linac,STATUS,COL0,245.17,994,L2KA01-0117,16,L2KG01-1925,8,WD-376-404-09-C0
VVPG:L1B:0201,Linac,STATUS,L1B,249.04,0201,L2KA01-0117,16,L2KG01-1925,9,WD-376-404-09-C0
VVPG:L1B:H295,Linac,STATUS,L1B,391.795,H295,L2KA02-0217,43,L2KG01-2037,2,WD-376-404-09-C0
VVPG:BC1B:88,Linac,STATUS,BC1B,395.659,88,L2KA02-0217,43,L2KG01-2037,3,WD-376-404-09-C0
VVPG:COL1:446,Linac,STATUS,COL1,487.648,446,L2KA02-0217,43,L2KG01-2037,4,WD-376-404-09-C0
VVPG:COL1:978,Linac,STATUS,COL1,576.998,978,L2KA02-0217,43,L2KG01-2037,5,WD-376-404-09-C0
VVPG:L2B:0401,Linac,STATUS,L2B,580.863,0401,L2KA02-0434,43,L2KG01-2037,6,WD-376-404-09-C0
VVPG:L2B:1593,Linac,STATUS,L2B,1081.381,1593,L2KA04-0112,61,L2KG04-1923,20,WD37605000C0
VVPG:BC2B:115,Linac,STATUS,BC2B,1085.879,115,L2KA04-0112,61,L2KG04-1923,21,WD37605000C0
VVPG:EMIT2:364,Linac,STATUS,EMIT2,1199.094,364,L2KA04-0112,61,L2KG04-1923,22,WD37605000C0
VVPG:EMIT2:958,Linac,STATUS,EMIT2,1269.157,958,L2KA04-0112,61,L2KG04-1923,23,WD37605000C0
VVPG:L3B:1601,Linac,STATUS,L3B,1273.655,1601,L2KA04-0112,61,L2KG04-1923,24,WD37605000C0
VVPG:L3B:2596,Linac,STATUS,L3B,1686.352,2596,L2KA06-0112,87,L2KG06-6133,0,WD37641009C0
VVPG:L3B:3594,Linac,STATUS,L3B,2104.068,3594,L2KA07-0125,93,L2KG07-3737,4,WD37641109C0
VVPG:EXT:143,Linac,STATUS,EXT,2107.94,143,L2KA07-0125,93,L2KG07-3737,5,WD37641109C0
VVPG:EXT:985,Linac,STATUS,EXT,2179.495,985,L2KA07-0125,93,L2KG07-3737,6,WD37641109C0
VVPG:DOG:247,Linac,STATUS,DOG,2460.61,247,L2KA08-0113,102,L2KG08-3A33,2,WD-376-414-02-C0
VVPG:DOG:605,Linac,STATUS,DOG,3177.251,605,L2KG10-1013,112,L2KG10-0733,2,WD-376-414-02-C0
VVPG:DOG:852,Linac,STATUS,DOG,3666.667,852,L2KG12-7C09,118,L2KG12-0133,0,WD37641402C0
VVPG:BPN15:106,Linac,STATUS,BPN15,4666.667,106,L2KG15-4C09,127,L2KG15-4D33,0,WD37641602C0
VVPG:BPN18:106,Linac,STATUS,BPN18,5666.667,106,L2KG18-8C09,136,L2KG18-6C33,0,WD37641602C0
VVPG:BPN21:106,Linac,STATUS,BPN21,6666.667,106,L2KG21-0309,143,L2KG21-0433,0,WD37641602C0
VVPG:BPN24:106,Linac,STATUS,BPN24,7666.667,106,L2KG24-4C09,152,L2KG24-3D37,0,WD37641602C0
VVPG:BPN27:106,Linac,STATUS,BPN27,8666.667,106,L2KG27-6C09,160,L2KG27-7D37,0,WD37641602C0
VVPG:SPH:304,HXU,STATUS,SPH,9333,304,L2KG29-5D13,182,L2KG29-7D24,0,WD37641802C0
VVPG:SPD:304,Linac,STATUS,SPD,9333,304,L2KG29-5D13,174,L2KG29-7D10,0,WD37641802C0
VVPG:SPH:651,HXU,STATUS,SPH,9666,651,L2KG30-4D09,196,L2KG30-7D27,0,WD37641802C0
VVPG:LI30:2,HXU,STATUS,LI30,10000,800,L2KG30-4D09,196,L2KG30-7D27,1,WD37641802C0
VVPG:SPD:651,Linac,STATUS,SPD,9666,651,L2KG30-4D13,189,L2KG30-7D13,0,WD37641802C0
VVPG:LI30:4,Linac,STATUS,LI30,10000,800,L2KG30-4D13,189,L2KG30-7D13,1,WD37641802C0
VVPG:SPS:651,SXU,STATUS,SPS,9666,651,L2KG30-4D13,192,L2KG30-7D20,0,WD37641802C0
VVPG:LI30:6,SXU,STATUS,LI30,10000,800,L2KG30-4D13,192,L2KG30-7D20,1,WD37641802C0
VVPG:SLTH:115,HXU,STATUS,SLTH,9999.872,115,B136-0106,206,B136-0628,3,WD-376-406-09-C0
VVPG:SLTH:291,HXU,STATUS,SLTH,10109,291,B136-0106,206,B136-0628,4,WD-376-406-09-C0
VVPG:SLTS:115,SXU,STATUS,SLTS,9999.872,115,B136-0206,201,B136-0528,3,WD-376-406-09-C0
VVPG:SLTS:581,SXU,STATUS,SLTS,10299,581,B136-0206,201,B136-0528,4,WD-376-406-09-C0
VVPG:BSYS:904,SXU,STATUS,BSYS,10514,904,Unknown,221,B106-0131,5,MISSING
VVPG:DUMP:1,Linac,STATUS,BSY,9999.872,100,B136-0312,189,L2KG30-7D13,7,WD-376-406-09-C0
VVPG:DUMP:2,Linac,STATUS,BSY,10299,200,B136-0312,189,L2KG30-7D13,8,WD-376-406-09-C0
VVPG:CTLS:1,CLTS,STATUS,CLTS,11000,100,B136-0413,200,B136-0521,0,WD37641806C0
VVPG:LTUS:108,SXU,STATUS,LTUS,10576,108,B106-0513,221,B106-0131,1,WD-376-420-02-C0
VVPG:LTUS:272,SXU,STATUS,LTUS,10762,272,B106-0513,221,B106-0131,2,WD-376-420-02-C0
VVPG:LTUS:442,SXU,STATUS,LTUS,10952,442,B911-0512,254,B911-0634,0,WD-376-421-02-C0
VVPG:LTUS:586,SXU,STATUS,LTUS,11132,586,B911-0512,254,B911-0634,1,WD-376-421-02-C0
VVPG:LTUS:726,SXU,STATUS,LTUS,11303,726,B912-0512,266,B912-1426,4,WD-376-422-02-C0
VVPG:LTUS:757,SXU,STATUS,LTUS,11491,757,B912-0512,266,B912-1426,5,WD-376-422-02-C0
VVPG:LTUH:102,HXU,STATUS,LTUH,999,102,B105-0510,215,B106-0124,12,
VVPG:LTUH:265,HXU,STATUS,LTUH,10576,265,LCLS-I,215,B106-0124,5,MISSING
VVPG:BSYH:470,HXU,STATUS,BSYH,10758,470,LCLS-I,215,B106-0124,6,MISSING
VVPG:BSYH:541,HXU,STATUS,BSYH,999,541,LCLS-I,215,B106-0124,7,MISSING
VVPG:BSYH:837,HXU,STATUS,BSYH,999,837,LCLS-I,215,B106-0124,8,MISSING
VVPG:LTUH:435,HXU,STATUS,LTUH,10940.81,435,B912-14,260,B912-1419,16,MISSING
VVPG:LTUH:580,HXU,STATUS,LTUH,11122.93,580,LCLS-I,260,B912-1419,17,MISSING
VVPG:LTUH:725,HXU,STATUS,LTUH,11304.99,725,LCLS-I,260,B912-1419,18,MISSING
VVPG:LTUH:757,HXU,STATUS,LTUH,11487.14,757,LCLS-I,260,B912-1419,19,MISSING
VVPG:UNDS:1651,SXU,STATUS,UNDS,11688,1651,B913-8512,272,B913-10233,0,WD-376-420-02-C0
VVPG:UNDS:2177,SXU,STATUS,UNDS,11781,2177,B913-8512,272,B913-10233,1,WD-376-420-02-C0
VVPG:UNDS:2877,SXU,STATUS,UNDS,11848,2877,B913-8512,272,B913-10233,2,WD-376-420-02-C0
VVPG:UNDS:3477,SXU,STATUS,UNDS,11935,3477,B921-2434,306,B921-1433,6,WD-376-420-05-C0
VVPG:UNDS:3577,SXU,STATUS,UNDS,11949,3577,B921-2434,306,B921-1433,7,WD-376-420-05-C0
VVPG:UNDS:3877,SXU,STATUS,UNDS,12011,3877,B921-2434,306,B921-1433,8,WD-376-420-05-C0
VVPG:UNDS:4477,SXU,STATUS,UNDS,12108,4477,B921-2434,306,B921-1433,9,WD-376-420-05-C0
VVPG:UNDH:1288,HXU,STATUS,UNDH,11688,1288,B913-8513,294,B913-10725,0,WD-376-420-02-C0
VVPG:UNDH:2098,HXU,STATUS,UNDH,11781,2098,B913-8513,294,B913-10725,1,WD-376-420-02-C0
VVPG:UNDH:2298,HXU,STATUS,UNDH,11808,2298,B913-8513,294,B913-10725,2,WD-376-420-02-C0
VVPG:UNDH:2798,HXU,STATUS,UNDH,11886,2798,B921-7427,316,B921-1524,6,WD-376-420-02-C0
VVPG:UNDH:2998,HXU,STATUS,UNDH,11912,2998,B921-7427,316,B921-1524,7,WD-376-420-02-C0
VVPG:UNDH:3798,HXU,STATUS,UNDH,12017,3798,B921-7427,316,B921-1524,8,WD-376-420-02-C0
VVPG:UNDH:4598,HXU,STATUS,UNDH,12122,4598,B921-7427,316,B921-1524,9,WD-376-420-02-C0
VVPG:UNDH:5196,HXU,STATUS,UNDH,12198,5196,B921-7427,316,B921-1524,10,WD-376-420-02-C0
VVPG:DMPS:396,SXU,STATUS,DMPS,12251,396,B921-7411,306,B921-1433,2,WD-376-420-02-C0
VVPG:DMPH:396,HXU,STATUS,DMPH,12251,200,B921-2434,316,B921-1524,2,WD-376-420-02-C0
VVPG:DMPH:355,HXU,STATUS,DMPH,1,355,B921-2434,316,B921-1524,17,WD-376-420-02-C0
VVPG:UNDS:5198,SXU,STATUS,DMPS,10000,5198,10000,306,B921-1433,10,
VVPG:DMPS:355,SXU,STATUS,DMPS,12230,355,B921-2434,306,B921-1433,15,WD-376-420-02-C0
