Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
WS0H04,Linac,WIRE,HTR,47.718176,48,Backplane,21,L2KG01-1925,0,N/A
WSDG01,Diag0,WIRE,DIAG0,154.041515,154,Backplane,21,L2KG01-1925,1,N/A
WSC104,Linac,WIRE,COL1,473.907651,474,Backplane,47,L2KG02-2209,0,N/A
WSC106,Linac,WIRE,COL1,500.15437,500,Backplane,47,L2KG02-2209,1,N/A
WSC108,Linac,WIRE,COL1,526.401089,526,Backplane,47,L2KG02-2209,2,N/A
WSC110,Linac,WIRE,COL1,552.647808,553,Backplane,47,L2KG02-2209,3,N/A
WSEMIT2,Linac,WIRE,EMIT2,1227.474915,1227,Backplane,73,L2KG04-1923,0,N/A
WSBP1,Linac,WIRE,DOG,3279.302175,3279,Backplane,130,L2KG10-0733,0,N/A
WSBP2,Linac,WIRE,BYP,3945.968842,3946,Backplane,137,L2KG12-0133,0,N/A
WSBP3,Linac,WIRE,BYP,4645.821713,4646,Backplane,144,L2KG14-7D33,0,N/A
WSBP4,Linac,WIRE,BYP,5312.488379,5312,Backplane,151,L2KG16-6C33,0,N/A
WSSP1D,Linac,WIRE,SPD,9891.076827,9891,Backplane,222,L2KG30-7D20,0,N/A
WSVM2,HXU,WIRE,LTUH,10585.41275,10585,Backplane,244,B106-0124,0,N/A
WSDL31,HXU,WIRE,LTUH,10728.35223,10728,Backplane,244,B105-0131,0,N/A
WSDL4,HXU,WIRE,LTUH,11071.71457,11072,Backplane,268,B911-0608,0,N/A
WS31,HXU,WIRE,LTUH,11234.79812,11235,Backplane,268,B911-0608,1,N/A
WS31B,SXU,WIRE,LTUS,11234.79812,11235,Backplane,273,B911-0615,0,N/A
WS32,HXU,WIRE,LTUH,11350.49078,11350,Backplane,268,B911-0608,2,N/A
WS32B,SXU,WIRE,LTUS,11350.49078,11350,Backplane,286,B912-1426,0,N/A
WS33B,SXU,WIRE,LTUS,11466.18344,11466,Backplane,286,B912-1426,1,N/A
WS33,HXU,WIRE,LTUH,11466.18344,11466,Backplane,303,B913-10711,0,N/A
WS34,HXU,WIRE,LTUH,11581.8761,11582,Backplane,303,B913-10711,1,N/A
WS34B,SXU,WIRE,LTUS,11581.8761,11582,Backplane,292,B913-10233,0,N/A
WS35,HXU,WIRE,LTUH,11583.08442,11583,Backplane,303,B913-10711,2,N/A
WS36,HXU,WIRE,LTUH,11583.73025,11584,Backplane,303,B913-10711,3,N/A
