Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Trunk Station ,Cable Length,Cable
WS0H04_PARK,Linac,PARKED,HTR,47.718176,48,47.718176,26,L2KG01-1931,9,MISSING - L2A00002 (station 187),187,139,L2A05240
WSDG01_PARK,Diag0,PARKED,DIAG0,154.041515,154,154.041515,26,L2KG01-1931,10,MISSING - L2A00002 (station 187),187,33,L2A05241
WSC104_PARK,Linac,PARKED,COL1,473.907651,474,473.907651,48,L2KG02-2215,24,MISSING - L2B00001 (station 520),520,46,L2A05242
WSC106_PARK,Linac,PARKED,COL1,500.15437,500,500.15437,48,L2KG02-2215,25,MISSING - L2B00001 (station 520),520,20,L2A05243
WSC108_PARK,Linac,PARKED,COL1,526.401089,526,526.401089,48,L2KG02-2215,26,MISSING - L2B00001 (station 520),520,6,L2A05244
WSC110_PARK,Linac,PARKED,COL1,552.647808,553,552.647808,48,L2KG02-2215,27,MISSING - L2B00001 (station 520),520,33,L2A05245
WSEMIT2_PARK,Linac,PARKED,EMIT2,1227.474915,1227,1227.474915,68,L2KG04-1923,8,MISSING - L2D00002 (station 1167),1167,60,L2A05246
WSBP1_PARK,Linac,PARKED,DOG,3279.302175,3279,3279.302175,126,L2KG10-0733,0,MISSING - L2G00453 (station 3167),3167,112,L2A05269
WSBP2_PARK,Linac,PARKED,BYP,3945.968842,3946,3945.968842,133,L2KG12-0133,1,MISSING - L2G00455 (station 3850),3850,96,L2A05173
WSBP3_PARK,Linac,PARKED,BYP,4645.821713,4646,4645.821713,140,L2KG14-7D33,0,MISSING - L2G00457 (station 4520),4520,126,L2A05174
WSBP4_PARK,Linac,PARKED,BYP,5312.488379,5312,5312.488379,147,L2KG16-6C33,0,MISSING - L2G00459 (station 5187),5187,125,L2A05175
WSSP1D_PARK,Linac,PARKED,SPD,9891.076827,9891,9891.076827,222,L2KG30-7D27,4,MISSING - L2H00002 (station 9853),9853,38,L2A05176
WSVM2_PARK,HXU,PARKED,LTUH,10585.41275,10585,10585.41275,229,B136-0628,6,MISSING - L2J00002 (station 10750),10750,165,L2A05177
WSDL31_PARK,HXU,PARKED,LTUH,10728.35223,10728,10728.35223,229,B136-0628,7,MISSING - L2J00002 (station 10750),10750,22,L2A05178
WSDL4_PARK,HXU,PARKED,LTUH,11071.71457,11072,11071.71457,265,B911-0608,2,MISSING - L2J00004 (station 11171 - B911),11171,99,L2A05179
WS31_PARK,HXU,PARKED,LTUH,11234.79812,11235,11234.79812,265,B911-0608,3,MISSING - L2J00004 (station 11171 - B911),11171,64,L2A05180
WS31B_PARK,SXU,PARKED,LTUS,11234.79812,11235,11234.79812,278,B911-0622,2,MISSING - L2J00004 (station 11171 - B911),11171,64,L2A05181
WS32_PARK,HXU,PARKED,LTUH,11350.49078,11350,11350.49078,284,B912-1419,4,MISSING - L2J00005 (station 11360 - B912),11360,10,L2A05182
WS32B_PARK,SXU,PARKED,LTUS,11350.49078,11350,11350.49078,288,B912-1426,0,MISSING - L2J00005 (station 11360 - B912),11360,10,L2A05183
WS33B_PARK,SXU,PARKED,LTUS,11466.18344,11466,11466.18344,288,B912-1426,1,MISSING - L2J00005 (station 11360 - B912),11360,106,L2A05184
WS33_PARK,HXU,PARKED,LTUH,11466.18344,11466,11466.18344,284,B912-1419,5,MISSING - L2J00005 (station 11360 - B912),11360,106,L2A05185
WS34_PARK,HXU,PARKED,LTUH,11581.8761,11582,11581.8761,316,B913-10725,0,MISSING - L2J00006 (station 11602 - B913),11602,20,L2A05186
WS34B_PARK,SXU,PARKED,LTUS,11581.8761,11582,11581.8761,293,B913-10233,1,MISSING - L2J00006 (station 11602 - B913),11602,20,L2A05187
WS35_PARK,HXU,PARKED,LTUH,11583.08442,11583,11583.08442,316,B913-10725,1,MISSING - L2J00006 (station 11602 - B913),11602,19,L2A05188
WS36_PARK,HXU,PARKED,LTUH,11583.73025,11584,11583.73025,316,B913-10725,2,MISSING - L2J00006 (station 11602 - B913),11602,18,L2A05189
