Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,MPS_Channel_#2,MPS_Channel_#3,MPS_Channel_#4,MPS_Channel_#5,MPS_Channel_#6,MPS_Channel_#7,MPS_Channel_#8,MPS_Channel_#9,MPS_Channel_#10,MPS_Channel_#11,MPS_Channel_#12,MPS_Channel_#13,MPS_Channel_#14,MPS_Channel_#15,MPS_Channel_#16,Drawing_#
SXU_CLASS_0,SXU_PC0,SXU_PC0,FEES,12400,100,XTES PLC,342,B940-009-R7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_1,SXU_PC1,SXU_PC1,FEES,12400,100,XTES PLC,342,B940-009-R7,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_2,SXU_PC2,SXU_PC2,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_3,SXU_PC3,SXU_PC3,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_4,SXU_PC4,SXU_PC4,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_5,SXU_PC5,SXU_PC5,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_6,SXU_PC6,SXU_PC6,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_7,SXU_PC7,SXU_PC7,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,MISSING
SXU_CLASS_8,SXU_PC8,SXU_PC8,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,MISSING
SXU_CLASS_9,SXU_PC9,SXU_PC9,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,MISSING
SXU_CLASS_10,SXU_PC10,SXU_PC10,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,MISSING
SXU_CLASS_11,SXU_PC11,SXU_PC11,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,MISSING
SXU_CLASS_12,SXU_PC12,SXU_PC12,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,MISSING
SXU_CLASS_13,SXU_PC13,SXU_PC13,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,MISSING
SXU_CLASS_14,SXU_PC14,SXU_PC14,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,MISSING
SXU_CLASS_15,SXU_PC15,SXU_PC15,FEES,12400,100,XTES PLC,342,B940-009-R7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,MISSING
HXU_CLASS_0,HXU_PC0,HXU_PC0,FEEH,12400,100,XTES PLC,340,B940-009-R2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_1,HXU_PC1,HXU_PC1,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_2,HXU_PC2,HXU_PC2,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_3,HXU_PC3,HXU_PC3,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_4,HXU_PC4,HXU_PC4,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_5,HXU_PC5,HXU_PC5,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_6,HXU_PC6,HXU_PC6,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_7,HXU_PC7,HXU_PC7,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,MISSING
HXU_CLASS_8,HXU_PC8,HXU_PC8,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,MISSING
HXU_CLASS_9,HXU_PC9,HXU_PC9,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,MISSING
HXU_CLASS_10,HXU_PC10,HXU_PC10,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,MISSING
HXU_CLASS_11,HXU_PC11,HXU_PC11,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,MISSING
HXU_CLASS_12,HXU_PC12,HXU_PC12,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,MISSING
HXU_CLASS_13,HXU_PC13,HXU_PC13,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,MISSING
HXU_CLASS_14,HXU_PC14,HXU_PC14,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,MISSING
HXU_CLASS_15,HXU_PC15,HXU_PC15,FEEH,12400,100,XTES PLC,340,B940-009-R2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,MISSING
