ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
49,L2CID-0707,1,379,32,WDOG,SIOC:GUNB:MP02:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN49 (SIOC GUNB MP02) Alive,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,2,TEMP,SOLN:GUNB:212:TEMP_PERMIT,-32.115049,0,IS_FAULTED,IS_OK,1,0,SOL1B Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,3,TEMP,SOLN:GUNB:823:TEMP_PERMIT,-27.538278,0,IS_FAULTED,IS_OK,1,0,SOL2B Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,4,FLOW,SOLN:GUNB:212:FLOW_PERMIT,-32.115049,0,IS_FAULTED,IS_OK,1,0,SOL1B / SOL2B Flow Meter Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,5,TEMP,ACCL:GUNB:455:TEMP_PERMIT,-35,0,IS_FAULTED,IS_OK,1,0,Buncher Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,6,FLOW,ACCL:GUNB:455:FLOW_PERMIT,-35,0,IS_FAULTED,IS_OK,1,0,Buncher Flow Meter Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,7,VAC,VVPG:GUNB:100:POSITION,-59,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG GUNB 100 Position,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,8,VV02,VVPG:GUNB:941:POSITION,-27,1,IS_NOT_OPEN,IS_OPEN,1,0,VVPG GUNB 941 Position,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,9,SHUT,SHUT:GUNB:100:OPEN_LMTSW,-100,0,NOT_OPEN,OPEN,1,0,Drive Laser MPS Shutter Open,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,10,SHUT,SHUT:GUNB:100:CLOSED_LMTSW,-100,1,NOT_CLOSED,CLOSED,1,0,Drive Laser MPS Shutter Closed,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,11,VV02,VVPG:GUNB:941:CLOSED,-27,0,IS_NOT_CLOSED,IS_CLOSED,1,0,VVPG GUNB 941 Closed,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,14,VV02,VVPG:GUNB:941:LSS_OK,-27,2,IS_NOT_READY,IS_READY,0,0,Laser Safety System OK,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,16,YAG01B,MOVR:GUNB:753:P6_SWITCH,-28.061394,6,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P6,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,17,YAG01B,MOVR:GUNB:753:P5_SWITCH,-28.061394,5,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P5,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,18,YAG01B,MOVR:GUNB:753:P4_SWITCH,-28.061394,4,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P4,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,19,YAG01B,MOVR:GUNB:753:P3_SWITCH,-28.061394,3,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P3,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,20,YAG01B,MOVR:GUNB:753:SPARE_SWITCH,-28.061394,7,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B Spare,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,21,YAG01B,MOVR:GUNB:753:P2_SWITCH,-28.061394,2,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P2,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,22,YAG01B,MOVR:GUNB:753:P1_SWITCH,-28.061394,1,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P1,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,23,YAG01B,MOVR:GUNB:753:P0_SWITCH,-28.061394,0,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P0,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,24,FLOW,GUN:GUNB:100:FLOW_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Flow Meters Interlocks,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,25,TEMP,MOVR:GUNB:753:TEMP_PERMIT,-28.065,0,IS_FAULTED,IS_OK,1,0,YAG01B / Injector Collimator Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,26,WGTEMP,GUN:GUNB:100:WGTEMP_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Waveguide Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,28,TEMP,GUN:GUNB:100:BDYTEMP_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Body Temperature Interlock,0,DUMPBSY,,,,1,1,1,44616,100
50,L2KA00-0517,1,1,32,WDOG,SIOC:GUNB:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN50 (SIOC GUNB MP01) Alive,0,DUMPBSY,,,,1,1,1,44615,100
50,L2KA00-0517,1,1,33,EPICS,BEND:DIAG0:155:INTOL,113.792552,0,IS_FAULTED,IS_OK,1,0,BLRDG0 Magnet INTOL (EPICS),2,DIAG0,,,,,,,,100
50,L2KA00-0517,1,1,34,EPICS,BEND:DIAG0:510:INTOL,166.954918,0,IS_FAULTED,IS_OK,1,0,BYDG0 Magnet INTOL (EPICS),2,DIAG0,,,,,,,,100
