Number,Area,Location,Slot,AMC,Crate_Number,Crate,Type,Type_Number,Global_ID,Name,Description
1,GUNB,MP01,1,2,1,L2KA00-0517,MPS Digital,1,1,MPS Digital,Digital Inputs
2,GUNB,MP01,2,1,1,L2KA00-0517,MPS Analog,2,2,MPS Analog,Analog Inputs
3,GUNB,MP01,3,0,1,L2KA00-0517,BPM,4,3,BPM,BPM1B/BPM2B
4,GUNB,MP01,4,0,1,L2KA00-0517,BPM,4,4,BPM,CMB01/
5,GUNB,MP01,5,2,1,L2KA00-0517,LLRF,5,5,LLRF,GUN/BUNCHER
6,GUNB,MP01,6,0,1,L2KA00-0517,BCM/BLEN,3,6,BCM/BLEN,Faraday Cup
7,GUNB,MP01,7,0,1,L2KA00-0517,BCM/BLEN,3,7,BCM/BLEN,IM01 Torroid
8,L0B,MP01,3,0,2,L2KA00-0615,BPM,4,8,BPM,BPM0H01/BPM0H04
9,L0B,MP01,4,0,2,L2KA00-0615,BCM/BLEN,3,9,BCM/BLEN,BZ0H04 BLEN
10,L0B,MP01,5,0,2,L2KA00-0615,BPM,4,10,BPM,BPM0H05/BPM0H08
11,L0B,MP01,6,0,2,L2KA00-0615,BPM,4,11,BPM,BPMH1/BPMH2
12,L0B,MP01,7,0,2,L2KA00-0615,BPM,4,12,BPM,BPMHD01/BPMHD02
13,L0B,MP02,3,2,3,L2KA00-0608,LLRF,5,13,LLRF,CM01 / CM02
14,L0B,MP02,4,2,3,L2KA00-0608,LLRF,5,14,LLRF,CM03 / CM04
15,L0B,MP02,5,2,3,L2KA00-0608,LLRF,5,15,LLRF,HL01 / HL02
16,L0B,MP03,1,2,4,L2KG01-1925,MPS Digital,1,16,MPS Digital,Digital Inputs
17,L0B,MP03,2,1,4,L2KG01-1925,MPS Analog,2,17,MPS Analog,Analog Inputs
18,L0B,MP03,3,0,4,L2KG01-1925,BPM,4,18,BPM,BPMC009/BPMC010
19,L0B,MP03,4,0,4,L2KG01-1925,BPM,4,19,BPM,BPMC005/BPMC006
20,L0B,MP03,5,0,4,L2KG01-1925,BPM,4,20,BPM,BPMC003/BPMC004
21,L0B,MP03,6,0,4,L2KG01-1925,BPM,4,21,BPM,BPMC001/BPMC002
22,L0B,MP03,7,2,4,L2KG01-1925,Wire Scanner,7,22,Wire Scanner,WS0H04/WSDG01
23,L0B,MP04,1,2,5,L2KG01-1931,MPS Digital,1,23,MPS Digital,Digital Inputs
24,L0B,MP04,2,1,5,L2KG01-1931,MPS Analog,2,24,MPS Analog,Analog Inputs
25,L0B,MP04,3,0,5,L2KG01-1931,BPM,4,25,BPM,BPMDG000/BPMDG002
26,L0B,MP04,4,0,5,L2KG01-1931,BPM,4,26,BPM,BPMDG003/BPMDG004
27,L0B,MP04,5,0,5,L2KG01-1931,BPM,4,27,BPM,BPMDG005/BPMDG0RF
28,L0B,MP04,6,0,5,L2KG01-1931,BPM,4,28,BPM,BPMDG008/BPMDG009
29,L0B,MP04,7,0,5,L2KG01-1931,BPM,4,29,BPM,BPMDG011/BPMDG012
30,L0B,MP05,3,0,6,L2KG01-1937,BPM,4,30,BPM,CMB02/
31,L0B,MP05,4,0,6,L2KG01-1937,BPM,4,31,BPM,BPMHD03/BPMHD04
32,L0B,MP05,5,0,6,L2KG01-1937,BPM,4,32,BPM,BPMC007/BPMC008
33,COL0,MP01,3,0,7,L2KG01-2037,BPM,4,33,BPM,BPMDG001/
34,COL0,MP01,4,0,7,L2KG01-2037,BPM,4,34,BPM,BPMC011/BPMC012
35,COL0,MP01,5,2,7,L2KG01-2037,LLRF,5,35,LLRF,CM07 / CM08
36,COL0,MP01,6,2,7,L2KG01-2037,LLRF,5,36,LLRF,CM05 / CM06
37,BC1B,MP01,1,2,8,L2KG02-2209,MPS Digital,1,37,MPS Digital,Digital Inputs
38,BC1B,MP01,2,1,8,L2KG02-2209,MPS Analog,2,38,MPS Analog,Analog Inputs
39,BC1B,MP01,3,0,8,L2KG02-2209,BPM,4,39,BPM,CMBH1/CMBH2
40,BC1B,MP01,4,0,8,L2KG02-2209,BPM,4,40,BPM,CMB03/
41,BC1B,MP01,6,0,8,L2KG02-2209,BCM/BLEN,3,41,BCM/BLEN,IM11B Torroid
42,BC1B,MP01,5,2,8,L2KG02-2209,Wire Scanner,7,42,Wire Scanner,WSC104/06/08/10
43,BC1B,MP02,1,2,9,L2KG02-2215,MPS Digital,1,43,MPS Digital,Digital Inputs
44,BC1B,MP02,5,0,9,L2KG02-2215,BCM/BLEN,3,44,BCM/BLEN,BZ11B BLEN
45,BC1B,MP02,4,0,9,L2KG02-2215,BPM,4,45,BPM,BPM11B/BPMC101
46,BC1B,MP02,6,0,9,L2KG02-2215,BPM,4,46,BPM,BPM1C01/BPMC102
47,BC1B,MP02,7,0,9,L2KG02-2215,BPM,4,47,BPM,BPMC103/BPMC104
48,BC1B,MP03,2,1,10,L2KG02-2323,MPS Analog,2,48,MPS Analog,Analog Inputs
49,BC1B,MP03,3,0,10,L2KG02-2323,BPM,4,49,BPM,BPMC105/BPMC106
50,BC1B,MP03,4,0,10,L2KG02-2323,BPM,4,50,BPM,BPMC107/BPMC108
51,BC1B,MP03,5,0,10,L2KG02-2323,BPM,4,51,BPM,BPMC109/BPMC110
52,BC1B,MP03,6,0,10,L2KG02-2323,BPM,4,52,BPM,BPMC111/BPMC112
53,L2B,MP01,3,0,11,L2KG03-4933,BPM,4,53,BPM,CMB04/CMB05
54,L2B,MP01,4,0,11,L2KG03-4933,BPM,4,54,BPM,CMB06/CMB07
55,L2B,MP01,5,0,11,L2KG03-4933,BPM,4,55,BPM,CMB08/CMB09
56,L2B,MP02,1,2,12,L2KG03-6033,MPS Digital,1,56,MPS Digital,Digital Inputs
57,L2B,MP02,3,0,12,L2KG03-6033,BPM,4,57,BPM,CMB10/CMB11
58,L2B,MP02,4,0,12,L2KG03-6033,BPM,4,58,BPM,CMB12/CMB13
59,L2B,MP02,5,0,12,L2KG03-6033,BPM,4,59,BPM,CMB14/
60,L2B,MP02,6,2,12,L2KG03-6033,LLRF,5,60,LLRF,CM09 / CM10
61,BC2B,MP01,1,2,13,L2KG04-1923,MPS Digital,1,61,MPS Digital,Digital Inputs
62,BC2B,MP01,3,0,13,L2KG04-1923,BPM,4,62,BPM,CMB16/CMB17
63,BC2B,MP01,4,0,13,L2KG04-1923,BPM,4,63,BPM,CMB18/
64,BC2B,MP01,6,2,13,L2KG04-1923,LLRF,5,64,LLRF,CM15 / CM16
65,BC2B,MP01,5,2,13,L2KG04-1923,Wire Scanner,7,65,Wire Scanner,WSEMIT2
