Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name
1,L2KA00-0517,LI00,5,17,7,0,1,GUNB,MP01,2,2,50,0,0,0,Linac,SD-144-182-02-C0,cpu-gunb-sp01
2,L2KA00-0615,LI00,6,15,7,0,101,L0B,MP01,2,2,51,0,1,1,Linac,SD-144-182-02-C0,cpu-l0b-sp01
3,L2KA00-0608,LI00,6,8,7,0,1,L0B,MP02,2,2,52,0,2,0,Linac,SD-144-182-02-C0,cpu-l0b-sp01
4,L2KG01-1925,LI01,19,25,7,0,1,L0B,MP03,2,2,53,1,5,0,Linac,SD-144-182-03-C0,cpu-l0b-sp02
5,L2KG01-1931,LI01,19,31,7,0,101,L0B,MP04,2,2,54,1,6,0,Linac,SD-144-182-03-C0,cpu-l0b-sp02
6,L2KG01-1937,LI01,19,37,7,0,1,L0B,MP05,2,2,55,1,7,0,Linac,SD-144-182-03-C0,cpu-l0b-sp03
7,L2KG01-2037,LI01,20,37,7,0,1,COL0,MP01,2,2,56,1,0,1,Linac,SD-144-182-03-C0,cpu-col0-sp01
8,L2KG02-2209,LI02,22,9,7,0,1,BC1B,MP01,2,2,57,2,9,0,Linac,SD-144-182-04-C0,cpu-bc1b-sp01
9,L2KG02-2215,LI02,22,15,7,0,101,BC1B,MP02,2,2,58,2,10,0,Linac,SD-144-182-04-C0,cpu-bc1b-sp01
10,L2KG02-2323,LI02,23,23,7,0,1,BC1B,MP03,2,2,59,2,0,2,Linac,SD-144-182-04-C0,cpu-bc1b-sp02
11,L2KG03-4933,LI03,49,33,7,0,1,L2B,MP01,2,2,60,3,0,3,Linac,SD-144-182-05-C0,cpu-l2b-sp01
12,L2KG03-6033,LI03,60,33,7,0,1,L2B,MP02,2,2,61,3,11,0,Linac,SD-144-182-05-C0,cpu-l2b-sp02
13,L2KG04-1923,LI04,19,23,7,0,1,BC2B,MP01,2,2,62,4,15,0,Linac,SD-144-182-06-C0,cpu-bc2b-sp01
14,L2KG04-2609,LI04,26,9,7,0,1,L2B,MP03,2,2,63,4,0,4,Linac,SD-144-182-06-C0,cpu-l2b-sp03
15,L2KG04-2615,LI04,26,15,7,0,101,L2B,MP04,2,2,64,4,14,0,Linac,SD-144-182-06-C0,cpu-l2b-sp03
16,L2KG05-6122,LI05,61,22,7,0,1,BC2B,MP02,2,2,65,5,17,0,Linac,SD-144-182-07-C0,cpu-bc2b-sp02
17,L2KG05-6133,LI05,61,33,7,0,101,BC2B,MP03,2,2,66,5,18,0,Linac,SD-144-182-07-C0,cpu-bc2b-sp02
18,L2KG06-6033,LI06,60,33,7,0,1,L3B,MP01,2,2,67,5,19,1,Linac,SD-144-182-07-C0,cpu-l3b-sp01
19,L2KG06-6133,LI06,61,33,7,0,1,L3B,MP02,2,2,68,5,0,5,Linac,SD-144-182-07-C0,cpu-l3b-sp02
20,L2KG07-3737,LI07,37,37,7,0,1,L3B,MP03,2,2,69,6,21,0,Linac,SD-144-182-08-C0,cpu-l3b-sp03
21,L2KG07-3831,LI07,38,31,7,0,1,L3B,MP04,2,2,70,6,22,0,Linac,SD-144-182-08-C0,cpu-l3b-sp04
22,L2KG08-3A33,LI08,3A,33,7,0,1,L3B,MP05,2,2,71,6,23,0,Linac,SD-144-182-08-C0,cpu-l3b-sp05
23,L2KG08-8C33,LI08,8C,33,7,0,1,DOG,MP01,2,2,72,6,0,9,Linac,SD-144-182-08-C0,cpu-dog-sp01
24,L2KG09-3C33,BYP1,3C,33,7,0,1,DOG,MP02,2,2,73,7,25,1,Linac,SD-144-182-09-C0,cpu-dog-sp02
25,L2KG10-0733,BYP1,7,33,7,0,1,DOG,MP03,2,2,74,7,0,8,Linac,SD-144-182-09-C0,cpu-dog-sp03
26,L2KG11-4D33,BYP1,4D,33,7,0,1,DOG,MP04,2,2,75,7,25,0,Linac,SD-144-182-09-C0,cpu-dog-sp04
27,L2KG12-0133,BYP1,1,33,7,0,1,DOG,MP05,2,2,76,7,26,0,Linac,SD-144-182-09-C0,cpu-dog-sp05
28,L2KG13-4D33,BYP1,4D,33,7,0,1,BPN13,MP01,2,2,77,8,29,1,Linac,SD-144-182-10-C0,cpu-bpn13-sp01
29,L2KG14-7D33,BYP1,7D,33,7,0,1,BPN14,MP01,2,2,78,8,0,0,Linac,SD-144-182-10-C0,cpu-bpn14-sp01
30,L2KG15-4D33,BYP1,4D,33,7,0,1,BPN15,MP01,2,2,79,8,29,0,Linac,SD-144-182-10-C0,cpu-bpn15-sp01
31,L2KG16-6C33,BYP1,6C,33,7,0,1,BPN16,MP01,2,2,80,8,30,0,Linac,SD-144-182-10-C0,cpu-bpn16-sp01
32,L2KG17-3D33,BYP1,3D,33,7,0,1,BPN17,MP01,2,2,81,9,33,0,Linac,SD-144-182-11-C0,cpu-bpn17-sp01
33,L2KG18-6C33,BYP1,6C,33,7,0,1,BPN18,MP01,2,2,82,9,34,0,Linac,SD-144-182-11-C0,cpu-bpn18-sp01
34,L2KG19-6D33,BYP1,6D,33,7,0,1,BPN19,MP01,2,2,83,9,35,0,Linac,SD-144-182-11-C0,cpu-bpn19-sp01
35,FKG20-0127,BYP2,1,27,7,0,1,BPN20,MP01,2,2,84,9,0,1,Linac,SD-144-182-11-C0,cpu-bpn20-sp01
36,L2KG21-0433,BYP2,4,33,7,0,1,BPN21,MP01,2,2,85,10,37,0,Linac,SD-144-182-12-C0,cpu-bpn21-sp01
37,L2KG22-7D37,BYP2,7D,37,7,0,1,BPN22,MP01,2,2,86,10,38,0,Linac,SD-144-182-12-C0,cpu-bpn22-sp01
38,L2KG23-7D37,BYP2,7D,37,7,0,1,BPN23,MP01,2,2,87,10,39,0,Linac,SD-144-182-12-C0,cpu-bpn23-sp01
