Name,Number,Description,Value,Mask,Fault,Fault_Description
I0_LOSS_T0,1,Undulator Beam Loss,1,1,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T1,2,Undulator Beam Loss,2,2,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T2,3,Undulator Beam Loss,4,4,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T3,4,Undulator Beam Loss,8,8,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T4,5,Undulator Beam Loss,16,16,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T5,6,Undulator Beam Loss,32,32,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T6,7,Undulator Beam Loss,64,64,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T7,8,Undulator Beam Loss,128,128,I0_LOSS,Undulator Beam Loss Fault
I0_LOSS_T0,9,Undulator Beam Loss,256,256,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T1,10,Undulator Beam Loss,512,512,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T2,11,Undulator Beam Loss,1024,1024,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T3,12,Undulator Beam Loss,1536,1536,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T4,13,Undulator Beam Loss,2048,2048,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T5,14,Undulator Beam Loss,4096,4096,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T6,15,Undulator Beam Loss,8192,8192,I1_LOSS,Undulator Beam Loss Fault
I0_LOSS_T7,16,Undulator Beam Loss,16384,16384,I1_LOSS,Undulator Beam Loss Fault
