Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
SXU,I0_LOSS_T0,1,Undulator Beam Loss Fault,-,-,1,-
SXU,I0_LOSS_T1,2,Undulator Beam Loss Fault,-,-,2,-
SXU,I0_LOSS_T2,3,Undulator Beam Loss Fault,-,-,3,-
SXU,I0_LOSS_T3,4,Undulator Beam Loss Fault,-,-,4,-
SXU,I0_LOSS_T4,5,Undulator Beam Loss Fault,-,-,5,-
SXU,I0_LOSS_T5,6,Undulator Beam Loss Fault,-,-,6,-
SXU,I0_LOSS_T6,7,Undulator Beam Loss Fault,-,-,7,-
SXU,I0_LOSS_T7,8,Undulator Beam Loss Fault,-,-,8,-
HXU,I0_LOSS_T0,1,Undulator Beam Loss Fault,-,-,-,1
HXU,I0_LOSS_T1,2,Undulator Beam Loss Fault,-,-,-,2
HXU,I0_LOSS_T2,3,Undulator Beam Loss Fault,-,-,-,3
HXU,I0_LOSS_T3,4,Undulator Beam Loss Fault,-,-,-,4
HXU,I0_LOSS_T4,5,Undulator Beam Loss Fault,-,-,-,5
HXU,I0_LOSS_T5,6,Undulator Beam Loss Fault,-,-,-,6
HXU,I0_LOSS_T6,7,Undulator Beam Loss Fault,-,-,-,7
HXU,I0_LOSS_T7,8,Undulator Beam Loss Fault,-,-,-,8
