Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
TDUND_POWER,HXU,STATE,LTUH,10000,970,DUMP:LTUH:970:MPSPOWER,294,B913-10725,36,
TDUNDB_ENERGY,SXU,STATE,LTUS,10000,972,DUMP:LTUS:972:MPSPOWER,306,B921-1433,43,
BPM_1305_X,HXU,STATE,UNDH,1305,1305,BPMS:UNDH:1305:XCUHBR,348,B913-10711,42,
BPM_1305_Y,HXU,STATE,UNDH,1305,1305,BPMS:UNDH:1305:YCUHBR,348,B913-10711,43,
BPM_1390_X,HXU,STATE,UNDH,1390,1390,BPMS:UNDH:1390:XCUHBR,348,B913-10711,44,
BPM_1390_Y,HXU,STATE,UNDH,1390,1390,BPMS:UNDH:1390:YCUHBR,348,B913-10711,45,
BPM_1490_X,HXU,STATE,UNDH,1490,1490,BPMS:UNDH:1490:XCUHBR,348,B913-10711,46,
BPM_1490_Y,HXU,STATE,UNDH,1490,1490,BPMS:UNDH:1490:YCUHBR,348,B913-10711,47,
BPM_1590_X,HXU,STATE,UNDH,1590,1590,BPMS:UNDH:1590:XCUHBR,349,B913-10718,36,
BPM_1590_Y,HXU,STATE,UNDH,1590,1590,BPMS:UNDH:1590:YCUHBR,349,B913-10718,38,
BPM_1690_X,HXU,STATE,UNDH,1690,1690,BPMS:UNDH:1690:XCUHBR,349,B913-10718,37,
BPM_1690_Y,HXU,STATE,UNDH,1690,1690,BPMS:UNDH:1690:YCUHBR,349,B913-10718,33,
BPM_1790_X,HXU,STATE,UNDH,1790,1790,BPMS:UNDH:1790:XCUHBR,349,B913-10718,34,
BPM_1790_Y,HXU,STATE,UNDH,1790,1790,BPMS:UNDH:1790:YCUHBR,349,B913-10718,35,
BPM_1890_X,HXU,STATE,UNDH,1890,1890,BPMS:UNDH:1890:XCUHBR,229,B105-0117,42,
BPM_1890_Y,HXU,STATE,UNDH,1890,1890,BPMS:UNDH:1890:YCUHBR,229,B105-0117,43,
BPM_1990_X,HXU,STATE,UNDH,1990,1990,BPMS:UNDH:1990:XCUHBR,348,B913-10711,38,
BPM_1990_Y,HXU,STATE,UNDH,1990,1990,BPMS:UNDH:1990:YCUHBR,348,B913-10711,39,
BPM_2090_X,HXU,STATE,UNDH,2090,2090,BPMS:UNDH:2090:XCUHBR,348,B913-10711,40,
BPM_2090_Y,HXU,STATE,UNDH,2090,2090,BPMS:UNDH:2090:YCUHBR,348,B913-10711,41,
BPM_2190_X,HXU,STATE,UNDH,2190,2190,BPMS:UNDH:2190:XCUHBR,369,B911-0537,33,
BPM_2190_Y,HXU,STATE,UNDH,2190,2190,BPMS:UNDH:2190:YCUHBR,369,B911-0537,34,
BPM_2290_X,HXU,STATE,UNDH,2290,2290,BPMS:UNDH:2290:XCUHBR,348,B913-10711,34,
BPM_2290_Y,HXU,STATE,UNDH,2290,2290,BPMS:UNDH:2290:YCUHBR,348,B913-10711,35,
BPM_2390_X,HXU,STATE,UNDH,2390,2390,BPMS:UNDH:2390:XCUHBR,348,B913-10711,36,
BPM_2390_Y,HXU,STATE,UNDH,2390,2390,BPMS:UNDH:2390:YCUHBR,348,B913-10711,37,
BPM_2490_X,HXU,STATE,UNDH,2490,2490,BPMS:UNDH:2490:XCUHBR,369,B911-0537,35,
BPM_2490_Y,HXU,STATE,UNDH,2490,2490,BPMS:UNDH:2490:YCUHBR,369,B911-0537,36,
BPM_2590_X,HXU,STATE,UNDH,2590,2590,BPMS:UNDH:2590:XCUHBR,369,B911-0537,37,
BPM_2590_Y,HXU,STATE,UNDH,2590,2590,BPMS:UNDH:2590:YCUHBR,369,B911-0537,38,
