Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Enable
BPM1B,LINAC,all,GUNB,-31.349744,314,-,3,L2KA00-0517,1,N/A,0
BPM2B,LINAC,all,GUNB,-26.772972,925,-,3,L2KA00-0517,0,N/A,0
CMB01,LINAC,all,L0B,12.449967,0183,-,4,L2KA00-0517,1,N/A,0
BPM0H01,LINAC,all,HTR,28.216453,120,-,8,L2KA00-0615,1,N/A,0
BPM0H04,LINAC,all,HTR,45.900591,320,-,8,L2KA00-0615,0,N/A,0
BPM0H05,LINAC,all,HTR,49.910761,365,-,10,L2KA00-0615,1,N/A,0
BPM0H08,LINAC,all,HTR,58.306102,460,-,10,L2KA00-0615,0,N/A,0
BPMH1,LINAC,all,HTR,65.171991,540,-,11,L2KA00-0615,1,N/A,0
BPMH2,LINAC,all,HTR,83.91584,760,-,11,L2KA00-0615,0,N/A,0
BPMHD01,LINAC,all,HTR,90.823392,830,-,12,L2KA00-0615,1,N/A,0
BPMHD02,LINAC,all,HTR,93.385728,860,-,12,L2KA00-0615,0,N/A,0
BPMHD03,LINAC,all,HTR,102.676371,960,-,31,L2KG01-1937,1,N/A,0
BPMHD04,LINAC,all,HTR,104.593077,980,-,31,L2KG01-1937,0,N/A,0
BPMDG000,DIAG0,all,COL0,111.003839,125,-,25,L2KG01-1931,1,N/A,0
BPMDG001,DIAG0,all,DIAG0,118.692923,190,-,34,L2KG01-2037,1,N/A,0
BPMDG002,DIAG0,all,DIAG0,121.504931,210,-,25,L2KG01-1931,0,N/A,0
BPMC001,LINAC,all,COL0,123.757119,240,-,21,L2KG01-1925,1,N/A,0
BPMDG003,DIAG0,all,DIAG0,124.316936,230,-,26,L2KG01-1931,1,N/A,0
BPMC002,LINAC,all,COL0,126.319455,260,-,21,L2KG01-1925,0,N/A,0
BPMC003,LINAC,all,COL0,129.376542,280,-,20,L2KG01-1925,1,N/A,0
BPMDG004,DIAG0,all,DIAG0,131.373081,270,-,26,L2KG01-1931,0,N/A,0
BPMDG005,DIAG0,all,DIAG0,133.502346,285,-,27,L2KG01-1931,1,N/A,0
BPMC004,LINAC,all,COL0,134.762598,320,-,20,L2KG01-1925,0,N/A,0
