Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IN,2,Tuneup Dump Fault,1,-,-,-
LINAC,MOVING,3,Tuneup Dump Fault,1,-,-,-
LINAC,BROKEN,4,Tuneup Dump Fault,1,-,-,-
LINAC,OUT,1,Tuneup Dump Fault,10,-,-,-
SXU,IN,2,Tuneup Dump Fault,-,-,4,-
SXU,MOVING,3,Tuneup Dump Fault,-,-,2,-
SXU,BROKEN,4,Tuneup Dump Fault,-,-,1,-
SXU,OUT,1,Tuneup Dump Fault,-,-,10,-
HXU,IN,2,Tuneup Dump Fault,-,-,-,6
HXU,MOVING,3,Tuneup Dump Fault,-,-,-,2
HXU,BROKEN,4,Tuneup Dump Fault,-,-,-,1
HXU,OUT,1,Tuneup Dump Fault,-,-,-,10
