Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,I0_LOSS_T0,1, LBLM Waveform Fault,1,-,-,-
LINAC,I0_LOSS_T1,2, LBLM Waveform Fault,3,-,-,-
LINAC,I0_LOSS_T2,3, LBLM Waveform Fault,4,-,-,-
LINAC,I0_LOSS_T3,4, LBLM Waveform Fault,5,-,-,-
LINAC,I0_LOSS_T4,5, LBLM Waveform Fault,6,-,-,-
LINAC,I0_LOSS_T5,6, LBLM Waveform Fault,7,-,-,-
LINAC,I0_LOSS_T6,7, LBLM Waveform Fault,8,-,-,-
LINAC,I0_LOSS_T7,8, LBLM Waveform Fault,9,-,-,-
SXU,I0_LOSS_T0,1, LBLM Waveform Fault,-,-,1,-
SXU,I0_LOSS_T1,2, LBLM Waveform Fault,-,-,3,-
SXU,I0_LOSS_T2,3, LBLM Waveform Fault,-,-,4,-
SXU,I0_LOSS_T3,4, LBLM Waveform Fault,-,-,5,-
SXU,I0_LOSS_T4,5, LBLM Waveform Fault,-,-,6,-
SXU,I0_LOSS_T5,6, LBLM Waveform Fault,-,-,7,-
SXU,I0_LOSS_T6,7, LBLM Waveform Fault,-,-,8,-
SXU,I0_LOSS_T7,8, LBLM Waveform Fault,-,-,9,-
HXU,I0_LOSS_T0,1, LBLM Waveform Fault,-,-,-,1
HXU,I0_LOSS_T1,2, LBLM Waveform Fault,-,-,-,3
HXU,I0_LOSS_T2,3, LBLM Waveform Fault,-,-,-,4
HXU,I0_LOSS_T3,4, LBLM Waveform Fault,-,-,-,5
HXU,I0_LOSS_T4,5, LBLM Waveform Fault,-,-,-,6
HXU,I0_LOSS_T5,6, LBLM Waveform Fault,-,-,-,7
HXU,I0_LOSS_T6,7, LBLM Waveform Fault,-,-,-,8
HXU,I0_LOSS_T7,8, LBLM Waveform Fault,-,-,-,9
