Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Mapping,Cables,Pair,slope,offset
BKRDG0,LINAC,all,DIAG0,107.230873,111,L2KG01-52/53-06,24,L2KG01-1931,0,MISSING - Waveform,OK,L2A05111,0,1,0
BKYSP1S,LINAC,all,SPS,9413.55644,109,L2KG29-51,178,L2KG29-7D17,0,MISSING - Waveform,OK,L2A05124,0,1,0
BKYSP2S,LINAC,all,SPS,9417.821532,115,L2KG29-51,178,L2KG29-7D17,1,MISSING - Waveform,OK,L2A05124,1,1,0
BKYSP3S,LINAC,all,SPS,9422.086624,122,L2KG29-51,178,L2KG29-7D17,2,MISSING - Waveform,OK,L2A05124,2,1,0
BKYSP1H,LINAC,all,SPH,9127.545942,106,L2KG28-52,167,L2KG28-7D27,0,MISSING - Waveform,OK,L2A05125,0,1,0
BKYSP2H,LINAC,all,SPH,9131.811033,110,L2KG28-52,167,L2KG28-7D27,1,MISSING - Waveform,OK,L2A05125,1,1,0
BKYSP3H,LINAC,all,SPH,9136.076125,115,L2KG28-52,167,L2KG28-7D27,2,MISSING - Waveform,OK,L2A05125,2,1,0
BKRCUS,CLTS,all,CLTS,10038.08474,185,B136,346,B136-0521,0,MISSING - Waveform,OK,MISSING,0,0.004115734,2309.5
BYKIK,HXU,all,LTUH,10825.26191,320,B005,345,B005-L0811,0,MISSING - Waveform,OK,MISSING,0,0.003940576,979.53
BYKIKS,SXU,all,LTUS,10825.26191,350,B005,344,B005-L0716,0,MISSING - Waveform,OK,MISSING,0,0.003345824,897.59
