Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,offset,slope,Drawing_#,Mapping,Cable_#
LBLM:GUNB:212:A,LINAC,all,GUNB,13.9,212:A,L2KG01-2143,24,L2KG01-1931,1,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A06936
LBLM:GUNB:212:B,LINAC,all,GUNB,13.9,212:B,L2KG01-2140,24,L2KG01-1931,2,372,0.038,BCS-BLM-B-P0-3-P1-3,OK,L2A06937
LBLM:HTR:167:A,LINAC,all,HTR,78.4,167:A,L2KG01-2019,24,L2KG01-1931,3,372,0.038,BCS-BLM-A-P1-3-P1-12,OK,L2A06938
LBLM:HTR:167:B,LINAC,all,HTR,78.4,167:B,L2KG01-2015,24,L2KG01-1931,4,372,0.038,BCS-BLM-B-P1-3-P1-12,OK,L2A06939
LBLM:COL0:862:A,LINAC,all,COL0,123.5,862:A,L2KG02-2636,38,L2KG02-2209,0,372,0.038,BCS-BLM-A-P1-12-P2-3,OK,L2A06940
LBLM:COL0:862:B,LINAC,all,COL0,123.5,862:B,L2KG02-2630,38,L2KG02-2209,1,372,0.038,BCS-BLM-A-P2-3-P2-14,OK,L2A06942
LBLM:L1B:H282:A,LINAC,all,L1B,183.3,H282:A,L2KG02-2633,38,L2KG02-2209,2,372,0.038,BCS-BLM-B-P1-12-P2-3,OK,L2A06941
LBLM:L1B:H282:B,LINAC,all,L1B,183.3,H282:B,L2KG02-2627,38,L2KG02-2209,3,372,0.038,BCS-BLM-B-P2-3-P2-14,OK,L2A06943
LBLM:L2B:0400:A,LINAC,all,L2B,331.8,0400:A,L2KG04-2730,66,L2KG04-2609,0,372,0.038,BCS-BLM-A-P2-14-P4-4,OK,L2A06944
LBLM:L2B:0400:B,LINAC,all,L2B,331.8,0400:B,L2KG04-2727,66,L2KG04-2609,1,372,0.038,BCS-BLM-B-P2-14-P4-4,OK,L2A06945
LBLM:L2B:1587:A,LINAC,all,L2B,408,1587:A,L2KG05-6230,75,L2KG05-6122,0,372,0.038,BCS-BLM-A-P4-4-P5-1,OK,L2A06958
LBLM:L2B:1587:B,LINAC,all,L2B,408,1587:B,L2KG05-6227,75,L2KG05-6122,1,372,0.038,BCS-BLM-B-P4-4-P5-1,OK,L2A06959
LBLM:L3B:1600:A,LINAC,all,L3B,516.2,1600:A,L2KG06-6019,88,L2KG06-6133,0,372,0.038,BCS-BLM-A-P5-1-P6-2,OK,L2A06960
LBLM:L3B:1600:B,LINAC,all,L3B,516.2,1600:B,L2KG06-6015,88,L2KG06-6133,1,372,0.038,BCS-BLM-B-P5-1-P6-2,OK,L2A06961
LBLM:L3B:2600:A,LINAC,all,L3B,639.9,2600:A,L2KG07-3719,94,L2KG07-3737,0,372,0.038,BCS-BLM-A-P6-2-P7-5,OK,L2A06962
LBLM:L3B:2600:B,LINAC,all,L3B,639.9,2600:B,L2KG07-3715,94,L2KG07-3737,1,372,0.038,BCS-BLM-B-P6-2-P7-5,OK,L2A06963
LBLM:L3B:3578:A,LINAC,all,L3B,834.8,3578:A,L2KG09-3C16,110,L2KG09-3C33,0,372,0.038,BCS-BLM-P7-5-P9-4,OK,L2A05640
LBLM:DOG:381:A,LINAC,all,DOG,1054.6,381:A,L2KG11-4D16,116,L2KG11-4D33,0,372,0.038,BCS-BLM-P9-4-P11-7,OK,L2A05639
LBLM:DOG:740:A,LINAC,all,DOG,1258.8,740:A,L2KG13-4D16,122,L2KG13-4D33,0,372,0.038,BCS-BLM-P11-7-P13-7,OK,L2A05638
LBLM:BPN13:410:A,LINAC,all,BPN13,1463,410:A,L2KG15-4D16,128,L2KG15-4D33,0,372,0.038,BCS-BLM-P13-7-P15-7,OK,L2A05637
LBLM:BPN15:410:A,LINAC,all,BPN15,1677.6,410:A,L2KG17-5C27,134,L2KG17-3D33,0,372,0.038,BCS-BLM-15-7-P17-9,OK,L2A06671
LBLM:BPN17:517:A,LINAC,all,BPN17,1893.6,517:A,L2KG19-6D16,139,L2KG19-6D33,0,372,0.038,BCS-BLM-P17-9-P19-11,OK,L2A05640
LBLM:BPN19:635:A,LINAC,all,BPN19,2097.3,635:A,L2KG21-6C27,144,L2KG21-0433,1,372,0.038,BCS-BLM-P19-11-P21-11,OK,L2A05559
LBLM:BPN21:635:A,LINAC,all,BPN21,2311.8,635:A,L2KG23-7D16,150,L2KG23-7D37,0,372,0.038,BCS-BLM-P21-11-P23-13,OK,Intra-rack
LBLM:BPN23:739:A,LINAC,all,BPN23,2515,739:A,L2KG25-7D16,155,L2KG25-7D37,1,372,0.038,BCS-BLM-P23-13-P25-13,OK,Intra-rack
LBLM:BPN25:739:A,LINAC,all,BPN25,2718.2,739:A,L2KG27-7D16,161,L2KG27-7D37,0,372,0.038,BCS-BLM-P25-13-P27-13,OK,Intra-rack
LBLM:BPN27:739:A,LINAC,all,BPN27,2883.41,739:A,L2KG29-5F27,178,L2KG29-7D17,4,372,0.038,BCS-BLM-P27-13-P29-7,OK,L2A06669
LBLM:BPN28:739:BS,SXU,all,BPN28,3015.8,739:BS,L2KG30-7E27,193,L2KG30-7D20,0,372,0.038,BCS-BLM-P28-13-P30-12 (S),OK,L2A06667
LBLM:BPN28:739:BH,HXU,all,BPN28,3015.8,739:BH,L2KG30-7E27,197,L2KG30-7D27,0,372,0.038,BCS-BLM-P28-13-P30-12 (H),OK,L2A06668
LBLM:SPS:443:AS,SXU,all,SPS,3071.9,443:AS,B136-0827,205,B136-0528,0,372,0.038,BCS-BLM-P29-7-B136-P1 (S),OK,L2J06832
LBLM:SPS:443:AH,HXU,all,SPS,3071.9,443:AH,B136-0827,210,B136-0628,2,372,0.038,BCS-BLM-P29-7-B136-P1 (H),OK,L2J06833
LBLM:SPS:870:BS,SXU,all,SPS,3208.8,870:BS,B106-0621,226,B106-0131,5,372,0.038,BCS-BLM-P30-12-B106-P17 (S),OK,L2J06877
LBLM:SPS:870:BH,HXU,all,SPS,3208.8,870:BH,B106-0621,219,B106-0124,0,372,0.038,BCS-BLM-P30-12-B106-P17 (H),OK,L2J06878
LBLM:BSY0:247:AS,SXU,all,BSY0,3208.8,247:AS,B106-0624,225,B106-0131,0,372,0.038,BCS-BLM-B136-P1-B106-P17 (S),OK,L2J06879
LBLM:BSY0:247:AH,HXU,all,BSY0,3208.8,247:AH,B106-0624,219,B106-0124,1,372,0.038,BCS-BLM-B136-P1-B106-P17 (H),OK,L2J06880
LBLM:LTUS:105:AS,SXU,all,LTUS,3401.4,105:AS,B911-2426-MPS-OUT2,248,B911-0627,2,372,0.038,BCS-BLM-B106-P17-B911-P6N (S),OK,L2A06665
LBLM:LTUS:105:AH,HXU,all,LTUS,3401.4,105:AH,B911-2426-MPS-OUT1,253,B911-0537,3,372,0.038,BCS-BLM-B106-P17-B911-P6N (H),OK,L2A06663
LBLM:LTUH:105:BS,SXU,all,LTUH,3403.4,105:BS,B911-2422-MPS-OUT2,248,B911-0627,3,372,0.038,BCS-BLM-B106-P17-B911-P3S (S),OK,L2A06666
LBLM:LTUH:105:BH,HXU,all,LTUH,3403.4,105:BH,B911-2422-MPS-OUT1,253,B911-0537,4,372,0.038,BCS-BLM-B106-P17-B911-P3S (H),OK,L2A06664
LBLM:LTUS:433:AS,SXU,all,LTUS,3471.1,433:AS,B912-1533-MPS-OUT2,267,B912-1426,5,372,0.038,BCS-BLM-A-B911-P6N-B912-P3S (S),OK,L2A06655
LBLM:LTUS:433:AH,HXU,all,LTUS,3471.1,433:AH,B912-1533-MPS-OUT1,261,B912-1419,5,372,0.038,BCS-BLM-A-B911-P6N-B912-P3S (H),OK,L2A06656
LBLM:LTUS:433:BS,SXU,all,LTUS,3471.1,433:BS,B912-1527-MPS-OUT2,271,B912-1426,0,372,0.038,BCS-BLM-A-B911-P3S-B912-P7N (S),OK,L2A06657
LBLM:LTUS:433:BH,HXU,all,LTUS,3471.1,433:BH,B912-1527-MPS-OUT1,265,B912-1419,0,372,0.038,BCS-BLM-A-B911-P3S-B912-P7N (H),OK,L2A06658
LBLM:LTUH:433:AS,SXU,all,LTUH,3472.7,433:AS,B912-1530-MPS-OUT2,271,B912-1426,1,372,0.038,BCS-BLM-B-B911-P6N-B912-P3S (S),OK,L2A06659
LBLM:LTUH:433:AH,HXU,all,LTUH,3472.7,433:AH,B912-1530-MPS-OUT1,265,B912-1419,1,372,0.038,BCS-BLM-B-B911-P6N-B912-P3S (H),OK,L2A06660-ver
LBLM:LTUH:433:BS,SXU,all,LTUH,3471.6,433:BS,B912-1524-MPS-OUT2,271,B912-1426,2,372,0.038,BCS-BLM-B-B911-P3S-B912-P7N (S),OK,L2A06661-ver
LBLM:LTUH:433:BH,HXU,all,LTUH,3471.6,433:BH,B912-1524-MPS-OUT1,265,B912-1419,2,372,0.038,BCS-BLM-B-B911-P3S-B912-P7N (H),OK,L2A06662-ver
LBLM:LTUS:738:AS,SXU,all,LTUS,3563.1,738:AS,B913-3036-MPS-OUT1,278,B913-10333,2,372,0.038,BCS-BLM-A-B912-P7N-B913-P22S (S),OK,L2J07048
LBLM:LTUS:738:AH,HXU,all,LTUS,3563.1,738:AH,B913-3036-MPS-OUT2,295,B913-10725,1,372,0.038,BCS-BLM-A-B912-P7N-B913-P22S (H),OK,L2J07049
LBLM:LTUS:738:BS,SXU,all,LTUS,3563.1,738:BS,B913-3030-MPS-OUT1,278,B913-10333,3,372,0.038,BCS-BLM-A-B912-P3S-B913-P11N (S),OK,L2J07044
LBLM:LTUS:738:BH,HXU,all,LTUS,3563.1,738:BH,B913-3030-MPS-OUT2,287,B913-10711,0,372,0.038,BCS-BLM-A-B912-P3S-B913-P11N (H),OK,L2J07045
LBLM:LTUH:738:AS,SXU,all,LTUH,3561,738:AS,B913-3033-MPS-OUT1,278,B913-10333,4,372,0.038,BCS-BLM-B-B912-P7N-B913-P22S (S),OK,L2J07046
LBLM:LTUH:738:AH,HXU,all,LTUH,3561,738:AH,B913-3033-MPS-OUT2,287,B913-10711,1,372,0.038,BCS-BLM-B-B912-P7N-B913-P22S (H),OK,L2J07047
LBLM:LTUH:738:BS,SXU,all,LTUH,3561,738:BS,B913-3027-MPS-OUT1,278,B913-10333,5,372,0.038,BCS-BLM-B-B912-P3S-B913-P11N (S),OK,L2J07042
LBLM:LTUH:738:BH,HXU,all,LTUH,3561,738:BH,B913-3027-MPS-OUT2,287,B913-10711,2,372,0.038,BCS-BLM-B-B912-P3S-B913-P11N (H),OK,L2J07043
LBLM:LTUS:846:AS,SXU,all,LTUS,3681.3,846:AS,B921-7036-MPS-OUT1,304,B921-1421,1,372,0.038,BCS-BLM-B913-P11N-B921-P1N (S),OK,L2K01848
LBLM:LTUS:846:AH,HXU,all,LTUS,3681.3,846:AH,B921-7036-MPS-OUT2,317,B921-1524,4,372,0.038,BCS-BLM-B913-P11N-B921-P1N (H),OK,L2K01856
LBLM:LTUH:846:AS,SXU,all,LTUH,3680,846:AS,B921-7024-MPS-OUT1,304,B921-1421,2,372,0.038,BCS-BLM-B913-P22S-B921-P9S (S),OK,L2K01852
LBLM:LTUH:846:AH,HXU,all,LTUH,3680,846:AH,B921-7024-MPS-OUT2,317,B921-1524,5,372,0.038,BCS-BLM-B913-P22S-B921-P9S (H),OK,L2K01860
LBLM:UNDS:4050:AS,SXU,all,UNDS,3712.5,4050:AS,B921-7033-MPS-OUT1,304,B921-1421,3,372,0.038,BCS-BLM-B921-P1N-B921-P8N (S),OK,L2K01849
LBLM:UNDS:4050:AH,HXU,all,UNDS,3712.5,4050:AH,B921-7033-MPS-OUT2,320,B921-1524,0,372,0.038,BCS-BLM-B921-P1N-B921-P8N (H),OK,L2K01857
LBLM:UNDH:4050:AS,SXU,all,UNDH,3712.5,4050:AS,B921-7021-MPS-OUT1,304,B921-1421,4,372,0.038,BCS-BLM-B921-P9S-B921-P16S (S),OK,L2K01853
LBLM:UNDH:4050:AH,HXU,all,UNDH,3712.5,4050:AH,B921-7021-MPS-OUT2,320,B921-1524,1,372,0.038,BCS-BLM-B921-P9S-B921-P16S (H),OK,L2K01861
LBLM:UNDS:4650:AS,SXU,all,UNDS,3762.4,4650:AS,B921-7030-MPS-OUT1,304,B921-1421,5,372,0.038,BCS-BLM-A-B921-P8N-B921-P8N (S),OK,L2K01850
LBLM:UNDS:4650:AH,HXU,all,UNDS,3762.4,4650:AH,B921-7030-MPS-OUT2,320,B921-1524,2,372,0.038,BCS-BLM-A-B921-P8N-B921-P8N (H),OK,L2K01858
LBLM:UNDS:4650:BS,SXU,all,UNDS,3761.4,4650:BS,B921-7018-MPS-OUT1,305,B921-1421,0,372,0.038,BCS-BLM-A-B921-P16S-B921-P16S (S),OK,L2K01854
LBLM:UNDS:4650:BH,HXU,all,UNDS,3761.4,4650:BH,B921-7018-MPS-OUT2,320,B921-1524,3,372,0.038,BCS-BLM-A-B921-P16S-B921-P16S (H),OK,L2K01862
LBLM:UNDH:4750:AS,SXU,all,UNDH,3761.7,4750:AS,B921-7027-MPS-OUT1,305,B921-1421,1,372,0.038,BCS-BLM-B-B921-P8N-B921-P8N (S),OK,L2K01851
LBLM:UNDH:4750:AH,HXU,all,UNDH,3761.7,4750:AH,B921-7027-MPS-OUT2,320,B921-1524,4,372,0.038,BCS-BLM-B-B921-P8N-B921-P8N (H),OK,L2K01859
LBLM:UNDH:4750:BS,SXU,all,UNDH,3761.7,4750:BS,B921-7015-MPS-OUT1,305,B921-1421,2,372,0.038,BCS-BLM-B-B921-P16S-B921-P16S (S),OK,L2K01855
LBLM:UNDH:4750:BH,HXU,all,UNDH,3761.7,4750:BH,B921-7015-MPS-OUT2,320,B921-1524,5,372,0.038,BCS-BLM-B-B921-P16S-B921-P16S (H),OK,L2K01863
