Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,I0_LOSS_T0,1,LINAC PBLM Fault,1,-,-,-
LINAC,I0_LOSS_T1,2,LINAC PBLM Fault,3,-,-,-
LINAC,I0_LOSS_T2,3,LINAC PBLM Fault,4,-,-,-
LINAC,I0_LOSS_T3,4,LINAC PBLM Fault,5,-,-,-
LINAC,I0_LOSS_T4,5,LINAC PBLM Fault,6,-,-,-
LINAC,I0_LOSS_T5,6,LINAC PBLM Fault,7,-,-,-
LINAC,I0_LOSS_T6,7,LINAC PBLM Fault,8,-,-,-
LINAC,I0_LOSS_T7,8,LINAC PBLM Fault,9,-,-,-
SXU,I0_LOSS_T0,1,SXU PBLM Fault,-,-,1,-
SXU,I0_LOSS_T1,2,SXU PBLM Fault,-,-,3,-
SXU,I0_LOSS_T2,3,SXU PBLM Fault,-,-,4,-
SXU,I0_LOSS_T3,4,SXU PBLM Fault,-,-,5,-
SXU,I0_LOSS_T4,5,SXU PBLM Fault,-,-,6,-
SXU,I0_LOSS_T5,6,SXU PBLM Fault,-,-,7,-
SXU,I0_LOSS_T6,7,SXU PBLM Fault,-,-,8,-
SXU,I0_LOSS_T7,8,SXU PBLM Fault,-,-,9,-
HXU,I0_LOSS_T0,1,HXU PBLM Fault,-,-,-,1
HXU,I0_LOSS_T1,2,HXU PBLM Fault,-,-,-,3
HXU,I0_LOSS_T2,3,HXU PBLM Fault,-,-,-,4
HXU,I0_LOSS_T3,4,HXU PBLM Fault,-,-,-,5
HXU,I0_LOSS_T4,5,HXU PBLM Fault,-,-,-,6
HXU,I0_LOSS_T5,6,HXU PBLM Fault,-,-,-,7
HXU,I0_LOSS_T6,7,HXU PBLM Fault,-,-,-,8
HXU,I0_LOSS_T7,8,HXU PBLM Fault,-,-,-,9
