Device_Location,State_Name,Device_State_Number,Fault_Description,LINAC,DIAG0,SXU,HXU
LINAC,IN,2,LINAC Screen Fault,4,-,-,-
LINAC,MOVING,3,LINAC Screen Fault,1,-,-,-
LINAC,BROKEN,4,LINAC Screen Fault,1,-,-,-
Diag0,IN,2,Diag0 Screen Fault,-,4,-,-
Diag0,MOVING,3,Diag0 Screen Fault,-,1,-,-
Diag0,BROKEN,4,Diag0 Screen Fault,-,1,-,-
SXU,IN,2,SXU Screen Fault,-,-,5,-
SXU,MOVING,3,SXU Screen Fault,-,-,1,-
SXU,BROKEN,4,SXU Screen Fault,-,-,1,-
HXU,IN,2,HXU Screen Fault,-,-,-,5
HXU,MOVING,3,HXU Screen Fault,-,-,-,1
HXU,BROKEN,4,HXU Screen Fault,-,-,-,1
