Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
VVMG:LTUS:185,SXU,STATE,LTUS,10677,185,B105-04,221,B106-0131,3,WD-384-490-202-C0
VVMG:LTUS:384,SXU,STATE,LTUS,10850,384,B105-04,221,B106-0131,4,WD-384-490-202-C0
VVMG:LTUH:174,HXU,STATE,LTUH,10667.75,174,B105-04,215,B106-0124,9,WD-384-490-202-C0
VVMG:LTUH:355,HXU,STATE,LTUH,10854.59,355,B105-04,215,B106-0124,10,WD-384-490-202-C0
VVMG:LTUS:451,SXU,STATE,LTUS,10970,451,B911-05,254,B911-0634,2,WD-376-419-18-C0
VVMG:LTUS:505,SXU,STATE,LTUS,11041,505,B911-05,254,B911-0634,3,WD-376-419-18-C0
VVMG:LTUS:552,SXU,STATE,LTUS,11087,552,B911-05,254,B911-0634,4,WD-376-419-18-C0
VVMG:LTUS:656,SXU,STATE,LTUS,11208,656,B911-05,254,B911-0634,5,WD-376-419-18-C0
VVMG:LTUS:744,SXU,STATE,LTUS,11403,744,B912-05,266,B912-1426,3,WD-376-419-23-C0
VVMG:LTUH:505,HXU,STATE,LTUH,11031.92,505,B912,260,B912-1419,21,WD-376-419-23-C0
VVMG:LTUH:670,HXU,STATE,LTUH,11218.57,670,B912,260,B912-1419,22,WD-376-419-23-C0
VVMG:LTUH:742,HXU,STATE,LTUH,11396.1,742,B912,260,B912-1419,23,WD-376-419-23-C0
VVMG:LTUH:774,HXU,STATE,LTUH,11578.18,774,B912,260,B912-1419,24,WD-376-419-23-C0
VVMG:LTUS:802,HXU,STATE,LTUS,11587,802,B913-85,272,B913-10233,6,WD-384-902-04-C101
VVMG:LTUS:827,HXU,STATE,LTUS,11609,827,B913-85,272,B913-10233,7,WD-384-902-04-C101
VVMG:UNDH:1498,HXU,STATE,LTUH,11715,1498,B913--8407,294,B913-10725,3,WD-376-420-02-C0
VVMG:UNDH:1798,HXU,STATE,UNDH,11742,1798,B913--8407,294,B913-10725,4,WD-376-420-02-C0
VVMG:UNDH:2498,HXU,STATE,UNDH,11847,2498,B913--8407,294,B913-10725,5,WD-376-420-02-C0
VVMG:UNDH:2838,HXU,STATE,UNDH,11889,2838,B921-7513,316,B921-1524,15,WD-376-420-05-C0
VVMG:UNDH:2844,HXU,STATE,UNDH,11893,2844,B921-7513,316,B921-1524,16,WD-376-420-05-C0
VVMG:UNDH:3298,HXU,STATE,UNDH,11952,3298,B921-7513,316,B921-1524,11,WD-376-420-05-C0
VVMG:UNDH:3598,HXU,STATE,UNDH,11991,3598,B921-7513,316,B921-1524,12,WD-376-420-05-C0
VVMG:UNDH:4098,HXU,STATE,UNDH,12057,4098,B921-7513,316,B921-1524,13,WD-376-420-05-C0
VVMG:UNDH:4398,HXU,STATE,UNDH,12069,4398,B921-7513,316,B921-1524,14,WD-376-420-05-C0
VVMG:DMPS:643,SXU,STATE,DMPS,12326,643,B921-7409,306,B921-1433,4,WD-376-420-02-C0
VVMG:DMPS:681,SXU,STATE,DMPS,12336,381,B921-7409,306,B921-1433,5,WD-376-420-02-C0
VVMG:DMPH:643,HXU,STATE,DMPH,12326,643,B921-7409,316,B921-1524,4,WD-376-420-02-C0
VVMG:UNDS:3511,SXU,STATE,UNDS,11967.52,3511,B921-7512,306,B921-1433,18,WD-376-420-02-C0
VVMG:UNDS:3568,SXU,STATE,UNDS,11976.05,3568,B921-7512,306,B921-1433,19,WD-376-420-02-C0
VVMG:DMPH:681,HXU,STATE,DMPH,12336,981,B921-7409,316,B921-1524,5,WD-376-420-02-C0
