Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
SIOC_GUNB_MP01_WDOG,LINAC,STATE,GUNB,0,0,SIOC:GUNB:MP01:HEARTBEAT,1,L2KA00-0517,32,0
SIOC_L0B_MP01_WDOG,LINAC,STATE,L0B,0,0,SIOC:L0B:MP01:HEARTBEAT,350,L2KA00-0615,32,0
SIOC_L0B_MP02_WDOG,LINAC,STATE,L0B,0,0,SIOC:L0B:MP02:HEARTBEAT,351,L2KA00-0608,32,0
SIOC_L0B_MP03_WDOG,LINAC,STATE,L0B,0,0,SIOC:L0B:MP03:HEARTBEAT,16,L2KG01-1925,32,0
SIOC_L0B_MP04_WDOG,LINAC,STATE,L0B,0,0,SIOC:L0B:MP04:HEARTBEAT,23,L2KG01-1931,32,0
SIOC_L0B_MP05_WDOG,LINAC,STATE,L0B,0,0,SIOC:L0B:MP05:HEARTBEAT,352,L2KG01-1937,32,0
SIOC_COL0_MP01_WDOG,LINAC,STATE,L0B,0,0,SIOC:COL0:MP01:HEARTBEAT,353,L2KG01-2037,32,0
SIOC_BC1B_MP01_WDOG,LINAC,STATE,BC1B,0,0,SIOC:BC1B:MP01:HEARTBEAT,37,L2KG02-2209,32,0
SIOC_BC1B_MP02_WDOG,LINAC,STATE,BC1B,0,0,SIOC:BC1B:MP02:HEARTBEAT,43,L2KG02-2215,32,0
SIOC_BC1B_MP03_WDOG,LINAC,STATE,BC1B,0,0,SIOC:BC1B:MP03:HEARTBEAT,354,L2KG02-2323,32,0
SIOC_L2B_MP01_WDOG,LINAC,STATE,L2B,0,0,SIOC:L2B:MP01:HEARTBEAT,355,L2KG03-4933,32,0
SIOC_L2B_MP02_WDOG,LINAC,STATE,L2B,0,0,SIOC:L2B:MP02:HEARTBEAT,56,L2KG03-6033,32,0
SIOC_BC2B_MP01_WDOG,LINAC,STATE,BC2B,0,0,SIOC:BC2B:MP01:HEARTBEAT,61,L2KG04-1923,32,0
SIOC_L2B_MP03_WDOG,LINAC,STATE,L2B,0,0,SIOC:L2B:MP03:HEARTBEAT,356,L2KG04-2609,32,0
SIOC_L2B_MP04_WDOG,LINAC,STATE,L2B,0,0,SIOC:L2B:MP04:HEARTBEAT,357,L2KG04-2615,32,0
SIOC_BC2B_MP02_WDOG,LINAC,STATE,BC2B,0,0,SIOC:BC2B:MP02:HEARTBEAT,358,L2KG05-6122,32,0
SIOC_BC2B_MP03_WDOG,LINAC,STATE,BC2B,0,0,SIOC:BC2B:MP03:HEARTBEAT,81,L2KG05-6133,32,0
SIOC_L3B_MP01_WDOG,LINAC,STATE,L3B,0,0,SIOC:L3B:MP01:HEARTBEAT,359,L2KG06-6033,32,0
SIOC_L3B_MP02_WDOG,LINAC,STATE,L3B,0,0,SIOC:L3B:MP02:HEARTBEAT,87,L2KG06-6133,32,0
SIOC_L3B_MP03_WDOG,LINAC,STATE,L3B,0,0,SIOC:L3B:MP03:HEARTBEAT,93,L2KG07-3737,32,0
SIOC_L3B_MP04_WDOG,LINAC,STATE,L3B,0,0,SIOC:L3B:MP04:HEARTBEAT,376,L2KG07-3831,32,0
SIOC_L3B_MP05_WDOG,LINAC,STATE,L3B,0,0,SIOC:L3B:MP05:HEARTBEAT,102,L2KG08-3A33,32,0
SIOC_DOG_MP01_WDOG,LINAC,STATE,DOG,0,0,SIOC:DOG:MP01:HEARTBEAT,360,L2KG08-8C33,32,0
SIOC_DOG_MP02_WDOG,LINAC,STATE,DOG,0,0,SIOC:DOG:MP02:HEARTBEAT,109,L2KG09-3C33,32,0
SIOC_DOG_MP03_WDOG,LINAC,STATE,DOG,0,0,SIOC:DOG:MP03:HEARTBEAT,112,L2KG10-0733,32,0
SIOC_DOG_MP04_WDOG,LINAC,STATE,DOG,0,0,SIOC:DOG:MP04:HEARTBEAT,115,L2KG11-4D33,32,0
SIOC_DOG_MP05_WDOG,LINAC,STATE,DOG,0,0,SIOC:DOG:MP05:HEARTBEAT,118,L2KG12-0133,32,0
SIOC_BPN13_MP01_WDOG,LINAC,STATE,BPM13,0,0,SIOC:BPN13:MP01:HEARTBEAT,121,L2KG13-4D33,32,0
SIOC_BPN14_MP01_WDOG,LINAC,STATE,BPN14,0,0,SIOC:BPN14:MP01:HEARTBEAT,124,L2KG14-7D33,32,0
SIOC_BPN15_MP01_WDOG,LINAC,STATE,BPM14,0,0,SIOC:BPN15:MP01:HEARTBEAT,127,L2KG15-4D33,32,0
SIOC_BPN16_MP01_WDOG,LINAC,STATE,BPN15,0,0,SIOC:BPN16:MP01:HEARTBEAT,130,L2KG16-6C33,32,0
SIOC_BPN17_MP01_WDOG,LINAC,STATE,BPM15,0,0,SIOC:BPN17:MP01:HEARTBEAT,133,L2KG17-3D33,32,0
SIOC_BPN18_MP01_WDOG,LINAC,STATE,BPN16,0,0,SIOC:BPN18:MP01:HEARTBEAT,136,L2KG18-6C33,32,0
SIOC_BPN19_MP01_WDOG,LINAC,STATE,BPM16,0,0,SIOC:BPN19:MP01:HEARTBEAT,138,L2KG19-6D33,32,0
SIOC_BPN20_MP01_WDOG,LINAC,STATE,BPN17,0,0,SIOC:BPN20:MP01:HEARTBEAT,141,FKG20-0127,32,0
SIOC_BPN21_MP01_WDOG,LINAC,STATE,BPM17,0,0,SIOC:BPN21:MP01:HEARTBEAT,143,L2KG21-0433,32,0
SIOC_BPN22_MP01_WDOG,LINAC,STATE,BPN18,0,0,SIOC:BPN22:MP01:HEARTBEAT,146,L2KG22-7D37,32,0
SIOC_BPN23_MP01_WDOG,LINAC,STATE,BPM18,0,0,SIOC:BPN23:MP01:HEARTBEAT,149,L2KG23-7D37,32,0
