LN,Crate,Slot,AppId,Channel,Type,Device,Z,bit_position,z_name,o_name,auto_reset,evaluation,description,slope,offset,cable,LN Status,CN Status,CN Logic,Checked date,In config
49,L2CID-0707,1,379,32,WDOG,SIOC:GUNB:MP02:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN49 (SIOC GUNB MP02) Alive,,,,1,1,1,44615,y
50,L2KA00-0517,1,1,2,TEMP,SOLN:GUNB:212:TEMP_PERMIT,-32.115049,0,IS_FAULTED,IS_OK,1,0,SOL1B Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,3,TEMP,SOLN:GUNB:823:TEMP_PERMIT,-27.538278,0,IS_FAULTED,IS_OK,1,0,SOL2B Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,4,FLOW,SOLN:GUNB:212:FLOW_PERMIT,-32.115049,0,IS_FAULTED,IS_OK,1,0,SOL1B / SOL2B Flow Meter Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,5,TEMP,ACCL:GUNB:455:TEMP_PERMIT,-35,0,IS_FAULTED,IS_OK,1,0,Buncher Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,6,FLOW,ACCL:GUNB:455:FLOW_PERMIT,-35,0,IS_FAULTED,IS_OK,1,0,Buncher Flow Meter Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,7,VAC,VVPG:GUNB:100:POSITION,-59,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG GUNB 100 Position,,,,1,1,1,44615,y
50,L2KA00-0517,1,1,8,VV02,VVPG:GUNB:941:POSITION,-27,1,IS_NOT_OPEN,IS_OPEN,1,0,VVPG GUNB 941 Position,,,,1,1,1,44615,y
50,L2KA00-0517,1,1,9,SHUT,SHUT:GUNB:100:OPEN_LMTSW,-100,0,NOT_OPEN,OPEN,1,0,Drive Laser MPS Shutter Open,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,10,SHUT,SHUT:GUNB:100:CLOSED_LMTSW,-100,1,NOT_CLOSED,CLOSED,1,0,Drive Laser MPS Shutter Closed,,,,1,1,1,44615,y
50,L2KA00-0517,1,1,11,VV02,VVPG:GUNB:941:CLOSED,-27,0,IS_NOT_CLOSED,IS_CLOSED,1,0,VVPG GUNB 941 Closed,,,,1,1,1,44615,y
50,L2KA00-0517,1,1,14,VV02,VVPG:GUNB:941:LSS_OK,-27,2,IS_NOT_READY,IS_READY,0,0,Laser Safety System OK,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,16,YAG01B,MOVR:GUNB:753:P6_SWITCH,-28.061394,6,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P6,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,17,YAG01B,MOVR:GUNB:753:P5_SWITCH,-28.061394,5,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P5,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,18,YAG01B,MOVR:GUNB:753:P4_SWITCH,-28.061394,4,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P4,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,19,YAG01B,MOVR:GUNB:753:P3_SWITCH,-28.061394,3,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P3,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,20,YAG01B,MOVR:GUNB:753:SPARE_SWITCH,-28.061394,7,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B Spare,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,21,YAG01B,MOVR:GUNB:753:P2_SWITCH,-28.061394,2,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P2,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,22,YAG01B,MOVR:GUNB:753:P1_SWITCH,-28.061394,1,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P1,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,23,YAG01B,MOVR:GUNB:753:P0_SWITCH,-28.061394,0,IS_NOT_ACTIVE,IS_ACTIVE,1,0,YAG01B P0,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,24,FLOW,GUN:GUNB:100:FLOW_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Flow Meters Interlocks,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,25,TEMP,MOVR:GUNB:753:TEMP_PERMIT,-28.065,0,IS_FAULTED,IS_OK,1,0,YAG01B / Injector Collimator Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,26,TEMP,GUN:GUNB:100:WGTEMP_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Waveguide Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,27,TEMP,GUN:GUNB:100:BDYTEMP_PERMIT,-36,0,IS_FAULTED,IS_OK,1,0,Gun Body Temperature Interlock,,,,1,1,1,44616,y
50,L2KA00-0517,1,1,32,WDOG,SIOC:GUNB:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN50 (SIOC GUNB MP01) Alive,,,,1,1,1,44615,y
50,L2KA00-0517,2,2,0,SOLN,SOLN:GUNB:212,-32.115049,,,,0,1,SOL1B B-Field (SOLN:GUNB:212),1,0,N/A,,,,,y
50,L2KA00-0517,2,2,1,SOLN,SOLN:GUNB:823,-27.538278,,,,0,1,SOL2B B-Field (SOLN:GUNB:823),1,0,N/A,,,,,y
50,L2KA00-0517,2,2,2,BLM,SBLM:GUNB:753,-28.061394,,,,0,1,SBLM at Gun Window (SBLM:GUNB:753),1,0,N/A,,,,,y
50,L2KA00-0517,2,2,3,BLM,PBLM:GUNB:622,-30,,,,0,1,PBLM at Gun Window (PBLM:GUNB:622),1,0,N/A,,,,,y
50,L2KA00-0517,2,2,4,BLM,PBLM:GUNB:753,-28.061394,,,,0,1,PBLM at Inj Coll (PBLM:GUNB:753),1,0,N/A,,,,,y
50,L2KA00-0517,2,2,5,BLM,SBLM:GUNB:622,-30,,,,0,1,SBLM at Inj Coll (SBLM:GUNB:753),1,0,N/A,,,,,y
50,L2KA00-0517,3,3,1,BPMS,BPMS:GUNB:314,-31.349744,,,,0,1,BPM1B (BPMS:GUNB:314),1,0,N/A,,,,,y
50,L2KA00-0517,7,7,0,TORO,TORO:GUNB:360,-31.004744,,,,0,1,IM01 (TORO:GUNB:360),1,0,N/A,,,,,y
51,L2KA00-0615,1,350,32,WDOG,SIOC:L0B:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN51 (SIOC L0B MP01) Alive,,,,1,1,1,44615,y
52,L2KA00-0608,1,351,32,WDOG,SIOC:L0B:MP02:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN52 (SIOC L0B MP02) Alive,,,,1,1,1,44615,y
53,L2KG01-1925,1,16,32,WDOG,SIOC:L0B:MP03:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN53 (SIOC L0B MP03) Alive,,,,,,,,y
53,L2KG01-1925,2,17,4,BLM,LBLM:GUNB:212:A_WF,45.592,,,,0,1,LBLM:GUNB:212:A_WF,1,0,L2A08299,,,,,y
53,L2KG01-1925,2,17,5,BLM,LBLM:GUNB:212:B_WF,45.592,,,,0,1,LBLM:GUNB:212:B_WF,1,0,L2A08300,,,,,y
54,L2KG01-1931,1,23,32,WDOG,SIOC:L0B:MP04:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN54 (SIOC L0B MP04) Alive,,,,,,,,y
54,L2KG01-1931,2,24,1,BLM,LBLM:GUNB:212:A,45.592,,,,0,1,LBLM:GUNB:212:A,1,0,L2A06936,,,,,y
54,L2KG01-1931,2,24,2,BLM,LBLM:GUNB:212:B,45.592,,,,0,1,LBLM:GUNB:212:B,1,0,L2A06937,,,,,y
55,L2KG01-1937,1,352,32,WDOG,SIOC:L0B:MP05:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN55 (SIOC L0B MP05) Alive,,,,,,,,y
56,L2KG01-2037,1,353,32,WDOG,SIOC:COL0:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN56 (SIOC COL0 MP01) Alive,,,,,,,,y
