ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
54,L2KG01-1931,1,23,0,PROF,YAGS:HTR:625:IN_LMTSW,72.858917,1,NOT_IN,IS_IN,1,0,YAGH1,2,DUMPBSY,,,,,,,,
54,L2KG01-1931,1,23,1,PROF,YAGS:HTR:625:OUT_LMTSW,72.858917,0,NOT_OUT,IS_OUT,1,0,YAGH1,2,DUMPBSY,,,,,,,,
54,L2KG01-1931,1,23,2,PROF,YAGS:HTR:675:IN_LMTSW,76.330833,1,NOT_IN,IS_IN,1,0,YAGH2,2,DUMPBSY,,,,,,,,
54,L2KG01-1931,1,23,3,PROF,YAGS:HTR:675:OUT_LMTSW,76.330833,0,NOT_OUT,IS_OUT,1,0,YAGH2,2,DUMPBSY,,,,,,,,
54,L2KG01-1931,1,23,4,PROF,OTRS:DIAG0:420:IN_LMTSW,153.351427,1,NOT_IN,IS_IN,1,0,OTRDG02,2,DIAG0,,,,,,,,
54,L2KG01-1931,1,23,5,PROF,OTRS:DIAG0:420:OUT_LMTSW,153.351427,0,NOT_OUT,IS_OUT,1,0,OTRDG02,2,DIAG0,,,,,,,,
54,L2KG01-1931,1,23,6,PROF,OTRS:DIAG0:525:IN_LMTSW,169.458799,1,NOT_IN,IS_IN,1,0,OTRDG04,2,DIAG0,,,,,,,,
54,L2KG01-1931,1,23,7,PROF,OTRS:DIAG0:525:OUT_LMTSW,169.458799,0,NOT_OUT,IS_OUT,1,0,OTRDG04,2,DIAG0,,,,,,,,
58,L2KG02-2215,1,43,0,PROF,PROF:BC1B:470:IN_LMTSW,411.783632,1,NOT_IN,IS_IN,1,0,OTR11B,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,1,PROF,PROF:BC1B:470:OUT_LMTSW,411.783632,0,NOT_OUT,IS_OUT,1,0,OTR11B,3,DUMPBSY,,,,,,,,
62,L2KG04-1923,1,61,0,PROF,PROF:BC2B:545:IN_LMTSW,1131.912572,1,NOT_IN,IS_IN,1,0,OTR21B,3,DUMPBSY,,,,,,,,
62,L2KG04-1923,1,61,1,PROF,PROF:BC2B:545:OUT_LMTSW,1131.912572,0,NOT_OUT,IS_OUT,1,0,OTR21B,3,DUMPBSY,,,,,,,,
71,L2KG08-3A33,1,102,0,PROF,PROF:DOG:195:IN_SWITCH,2361.592667,1,NOT_IN,IS_IN,1,0,OTRDOG,3,DUMPBSY,,,,,,,,
71,L2KG08-3A33,1,102,1,PROF,PROF:DOG:195:OUT_SWITCH,2361.592667,0,NOT_OUT,IS_OUT,1,0,OTRDOG,3,DUMPBSY,,,,,,,,
