ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
53,L2KG01-1925,1,16,0,VAC,VVPG:HTR:93:POSITION,25.85,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 93 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,1,VAC,VVPG:HTR:162:POSITION,32.5,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 162 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,2,VAC,VVPG:HTR:217:POSITION,36.99,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 217 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,3,VAC,VVPG:HTR:417:POSITION,54.63,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTH 417 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,4,VAC,VVPG:HTR:889:POSITION,95.96,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 889 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,5,VAC,VVPG:HTR:986:POSITION,105.02,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 986 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,6,VAC,VVPG:COL0:205:POSITION,119.42,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG HTR 205 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,7,VAC,VVPG:DIAG0:268:POSITION,130.91,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG DIAG0 268 Position,2,DIAG0,,,,,,,,
53,L2KG01-1925,1,16,8,VAC,VVPG:COL0:994:POSITION,245.17,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG COL0 994 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,9,VAC,VVPG:L1B:0201:POSITION,249.04,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG L1B 0201 Position,3,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,17,VACI,VVFS:HTR:244:INTERLOCK_SUM,39.37,0,IS_NOT_OK,IS_OK,1,0,VVFS HTR 244 Interlock Summary,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,18,VACI,VVFS:COL0:991:INTERLOCK_SUM,242.78,0,IS_NOT_OK,IS_OK,1,0,VVFS COL0 991 Interlock Summary,3,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,19,VAC,VVFS:HTR:244:POSITION,39.37,0,IS_NOT_OPEN,IS_OPEN,1,0,VVFS HTR 244 Position,2,DUMPBSY,,,,,,,,
53,L2KG01-1925,1,16,20,VAC,VVFS:COL0:991:POSITION,242.78,0,IS_NOT_OPEN,IS_OPEN,1,0,VVFS COL0 991 Position,3,DUMPBSY,,,,,,,,
57,L2KG02-2209,1,37,32,WDOG,SIOC:BC1B:MP01:HEARTBEAT,200,0,IS_FAULTED,IS_OK,1,0,LN57 (SIOC BC1B MP01) Alive,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,2,VAC,VVPG:L1B:H295:POSITION,391.795,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG L1B H295 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,3,VAC,VVPG:BC1B:88:POSITION,395.659,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG BC1B 88 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,4,VAC,VVPG:COL1:446:POSITION,487.648,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG COL1 446 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,5,VAC,VVPG:COL1:978:POSITION,576.998,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG COL1 978 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,6,VAC,VVPG:L2B:0401:POSITION,580.863,0,IS_NOT_OPEN,IS_OPEN,1,0,VVPG L2B 0401 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,22,VAC,VVFS:BC1B:96:POSITION,397.444,0,IS_NOT_OPEN,IS_OPEN,1,0,VVFS BC1B 96 Position,3,DUMPBSY,,,,,,,,
58,L2KG02-2215,1,43,23,VAC,VVFS:COL1:972:POSITION,575.213,0,IS_NOT_OPEN,IS_OPEN,1,0,VVFS COL1 972 Position,3,DUMPBSY,,,,,,,,
